Iteration,Walker,Theta_0,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Inner Cost,Outer Cost,Gradient Cost
0,0,-8.405620433573114,-2.7687086895547517,-10.321461566859396,-3.012890095652866,-2.2703997690849063,-4.654721637184431,-5.367164869045691,-3.4678312800539683,-1.9202929342696766,2647.0402975032875,1379.105190218463,0.1267935107284825
0,1,-8.384131845064617,-2.619165355815293,-10.238264763578355,-2.898525432085478,-2.50966205453261,-4.680268404976514,-5.44725498339685,-3.3515501359959665,-1.9497788591612912,1798.174455132635,818.4319276482664,0.09797425274843687
0,2,-8.369111958296005,-2.6581508933076194,-10.375960279557104,-2.940313614356917,-2.5182544657120682,-4.634559904257343,-5.289606425417928,-3.3300618276899683,-1.7750218189658147,1113.4931976305681,460.1139516764842,0.0653379245954084
0,3,-8.577782323808021,-2.8333755740239313,-10.272594818681931,-2.8059364285597885,-2.3927456922276873,-4.56683475215128,-5.278404161700832,-3.431904552263169,-1.7261310766083005,1111.3845169632382,490.4691350999881,0.062091538186325027
0,4,-8.208931934393398,-2.713925047489991,-10.144865458719435,-2.8640666811433357,-2.5122643259399373,-4.877337372529003,-5.358573993299748,-3.394134871370176,-1.9207291958645558,1494.2814735169336,684.4584108373983,0.08098230626795351
0,5,-8.422244240418205,-2.6705192404603055,-10.246173955302684,-2.8441085187327526,-2.440544871562405,-4.732412216639863,-5.2272876517866536,-3.3983772523889617,-1.8109602718513502,1142.529524869635,518.4126312053944,0.06241168936642406
0,6,-8.284024540282527,-2.7059562374547554,-10.346767816451882,-2.919553046905397,-2.5716386540271943,-4.906780590806024,-5.287425764882042,-3.5309913856710655,-1.8779479180473637,1148.066775814967,520.9711960935732,0.06270955797213937
0,7,-8.407007596676701,-2.4732213269691665,-10.15222570329561,-3.00442370640091,-2.3521846777339848,-4.889672300672745,-5.194659178009895,-3.415191969522292,-1.6933470575963594,1125.4842239028267,485.7753406102148,0.06397088832926118
0,8,-8.335349340847086,-2.6170288602504153,-10.234369793121594,-2.9364020929352255,-2.4907293937897443,-4.7429140560246505,-5.290461064649412,-3.372419331887311,-1.9856099623918362,1732.5617090511864,826.5653749946592,0.0905996334056527
0,9,-8.44806101067099,-2.6105276298560702,-10.197926774671236,-2.855955838790246,-2.5032904010022485,-4.678994551737874,-5.227922288996158,-3.5226503510775253,-1.9310403013442192,1319.459118315451,630.8971512145914,0.06885619671008596
0,10,-8.56152822799031,-2.579067843273779,-10.32610611556877,-2.875653546896314,-2.4119664703351855,-4.568262678517291,-5.461502134475362,-3.4427572635551775,-1.8732302218247288,1900.6485325192375,877.6001884266565,0.10230483440925811
0,11,-8.34896142222415,-2.568643437527546,-10.418033502315977,-2.80391759399859,-2.3470565523506317,-4.695537059041532,-5.139723293660067,-3.5110294708465895,-1.9130251050821747,1582.7563578898062,817.1880143213328,0.07655683435684735
0,12,-8.452125224703646,-2.615077071583877,-10.37787639913806,-2.8385320386898,-2.3205273830124504,-4.9143284160492,-5.105335030491884,-3.361929554282781,-1.625028007290446,874.6872734243958,396.37713345351494,0.047831013997088084
0,13,-8.358739732464153,-2.5168669864255153,-10.186240999884546,-2.9287784340771066,-2.303456449019592,-4.661815192474965,-5.251112643791677,-3.418768903787285,-1.9016009387068937,2013.3825144373045,1024.7680345421452,0.09886144798951593
0,14,-8.434306307029958,-2.62631347151598,-10.472741697354985,-3.0143615788318368,-2.462597003236673,-4.827828709887665,-5.438751467875247,-3.4495109334542846,-1.967365877584127,2200.7244606200547,1046.844344703124,0.1153880115916931
0,15,-8.477475279115787,-2.6277367416741275,-10.177590108990495,-2.851190006025783,-2.5837890990831323,-4.708360289105344,-5.249410818412121,-3.4381857499076753,-1.7768293022078665,769.5560396099933,350.2285747022276,0.041932746490776565
0,16,-8.430091266472504,-2.6402893899177653,-10.212372564776087,-2.832377024413533,-2.3829223892028293,-4.747014963947709,-5.229291174240071,-3.3372156985766566,-1.940020031338707,1743.8649854193836,859.4201080974888,0.08844448773218948
0,17,-8.401365524841772,-2.694837550637877,-10.42616148366233,-2.9060794600485913,-2.458362489936388,-4.75557518750116,-5.200832589725098,-3.501617384300153,-1.8894266749157214,1351.1940245535488,638.6771526552434,0.07125168718983055
0,18,-8.313808530760276,-2.738596044732925,-10.38859693302209,-2.8611752837062094,-2.5500377934860627,-4.677706066025756,-5.292425698120502,-3.4728808337876003,-2.079872837963765,1879.3308266134807,946.2552978623228,0.09330755287511579
0,19,-8.380630362857353,-2.733919429014792,-10.131223933421461,-2.8971150959783047,-2.371048226609761,-4.881788963143208,-5.1827571604252425,-3.3830461720013907,-1.86783037538118,1480.1198498877466,710.9562989441124,0.07691635509436343
0,20,-8.423289337642766,-2.6498821580026046,-10.3819948230349,-2.966651967594999,-2.5277768603798463,-4.621418607086462,-5.207887288361113,-3.3036669884356926,-1.7526616855317614,1028.5317149680632,416.6470197378209,0.06118846952302423
0,21,-8.419041423809098,-2.620303919904268,-10.179887899153712,-2.8662685054241703,-2.5004342690295216,-4.710910048309891,-5.333828852374926,-3.559174754973123,-1.888743923689088,1403.809252153428,649.3505435843513,0.07544587085690767
0,22,-8.41636648330646,-2.6888636078370705,-10.43211177622538,-2.8180252793475375,-2.3431265037229347,-4.756382845264482,-5.223485781406408,-3.5649415107249696,-1.8475011377311377,1576.9839677722389,782.9114744819685,0.07940724932902703
0,23,-8.332715701633683,-2.785294956752633,-10.194083636715932,-2.841488012791558,-2.511496668440784,-4.628728593957736,-5.389046602215932,-3.584302253946223,-1.861322547695329,1370.862125082575,612.3635048516471,0.07584986202309277
0,24,-8.396370225806544,-2.618530185421264,-10.308670805020489,-2.756618902287451,-2.5659989121367723,-4.787311103145216,-5.222839025636479,-3.5013671945726923,-1.9203935850352833,1042.013702367793,481.4724828330163,0.05605412195347768
0,25,-8.481520466970062,-2.6214601780985713,-10.451979259295692,-2.9390506435855395,-2.587661814981412,-4.523241738066974,-5.2490278411170275,-3.6861068576492575,-1.9546496470285506,1290.3518365338855,601.419925419054,0.06889319111148315
0,26,-8.35284498286398,-2.698737229556842,-10.312760765061661,-2.8606700300211094,-2.4682584304291812,-4.885227911639202,-5.322807500299887,-3.4871634648013012,-1.7866047522274435,1170.6972129412422,523.6494507225317,0.06470477622187105
0,27,-8.357080316613409,-2.7562563368221036,-10.513100964813972,-2.9395560584430767,-2.259843786611258,-4.695419391723676,-5.199889596686307,-3.745478527911254,-1.88832205485428,2198.1922928530576,1181.1971136493794,0.1016995179203678
0,28,-8.228697133095219,-2.6880126003636344,-10.171644169960194,-2.929840559899895,-2.4410508179641135,-4.78723240931582,-5.032266505929698,-3.4212990157620666,-1.8376916211682253,970.5237961494906,458.47369575839605,0.051205010039109454
0,29,-8.593711800136262,-2.5096258117996246,-10.299021018069366,-2.8659415315822074,-2.3205122751901914,-4.559046441765407,-5.143995042547232,-3.4459479673291638,-1.8109939968767002,1360.386359436718,656.6376344376374,0.07037487249990806
