Iteration,Walker,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Inner Cost,Outer Cost,Gradient Cost
0,0,-5.29900334843965,-4.571291175195953,-2.0665121459980518,-6.755630894910346,-4.965684570827544,-5.537402362472449,-3.0176320379281827,-6.732211788331719,3739.2497266030778,3676.3592455806147,0.00012578096204492612
0,1,-5.690799060703868,-4.4339033907726275,-3.147159448632147,-7.593421904237584,-5.524502608930279,-7.0722407291244815,-1.9497295158165766,-5.898634921148168,10112.884176430605,8387.030540540212,0.003451707271780786
0,2,-2.2876269242039795,-4.807097235122938,-4.678845792076784,-3.381317306304281,-2.9446547321962266,-5.268998028632437,-6.470222253276672,-4.078842097353839,8982.157298782175,1947.8186985596067,0.014068677200445136
0,3,-5.542858523520078,-2.0494191184791224,-3.9462883976219763,-11.031995796845067,-5.248726947258759,-4.144581277151961,-5.1111529644818425,-3.9306969868996764,65812.54232286704,20123.899137800378,0.09137728637013333
0,4,-4.256264094118825,-5.429159684114821,-8.995755411590615,-2.7982976706104012,-5.227891444517244,-6.265887591471094,-6.604193176084569,-6.298470126924151,8457.399065058895,2927.909451277652,0.011058979227562486
0,5,-5.650853543048789,-6.170745039821094,-5.015573896634953,-4.359859694306284,-5.850172710529289,-2.9902203782933285,-4.540685170725269,-6.613207800760411,26445.073423507274,14383.265798463693,0.02412361525008716
0,6,-1.950259930940058,-5.176429722306068,-5.2413406125102835,-2.7557768187006033,-4.651589969678305,-6.750820362814428,-7.936219632823662,-4.808933150175554,934684.0030246481,1524.4135263272215,1.8663191789966416
0,7,-6.127304199424101,-2.6888045868855865,-5.993408178756479,-4.764369735559473,-3.674755386140154,-8.384705984878583,-4.600044829175734,-4.743390592729512,31501.300815633702,21837.234582285273,0.019328132466696856
0,8,-5.769218767098601,-5.819651984181936,-8.443073450793102,-5.217042791944214,-6.7397211093075,-3.8364034344299753,-5.326494473955897,-6.757856402675019,72854.19843701019,23024.27571048992,0.09965984545304053
0,9,-3.1162877254409107,-5.8875146597980255,-6.459636209014318,-4.909482041227326,-2.556440288972644,-2.9828662169312334,-6.4529281776468,-2.3752596114911335,689841789.6027293,76327.71705025382,1379.5309237713582
0,10,-4.614082763546868,-3.9719099383497287,-4.687266072622802,-5.591704939562929,-1.894093341590997,-2.932519111519836,-4.236825931957618,-5.928536498919875,118376.77580178228,1906.6287556294471,0.23294029409230568
0,11,-7.803838432845444,-6.161409977532397,-1.3798109081836039,-7.013358564336605,-6.719380576640153,-2.1904703872168367,-4.481370416887262,-5.74847602202064,3783.0694202750315,3344.484632123443,0.0008771695763031766
0,12,-4.1731886843087445,-5.842252599093157,-3.721006872980528,-5.881679782945147,-6.063905540863309,-5.2147698981579955,-5.96693427549308,-3.404804413901079,25588.127498749327,17117.78785830671,0.016940679280885232
0,13,-6.5861962438715596,-3.9336034968729425,-4.738527664949823,-3.3056077071117143,-7.215266400307525,-3.4813859347049076,-2.2211485405257556,-5.568249643710291,22625.522352651977,3500.671840380587,0.03824970102454278
0,14,-3.398818826839836,-5.322077493920702,-3.4610701633338383,-6.072964732638637,-5.687137001075433,-2.7001861644620484,-6.069284554367163,-3.2364872277412386,36390.256867832955,24186.330557695208,0.024407852620275495
0,15,-4.113284698955956,-2.291099074554553,-3.481487681136179,-5.619617005103032,-6.361023109294406,-7.362732852743024,-9.080068746808795,-4.344979333166769,73563.7853460928,3796.6802043604243,0.13953421028346474
0,16,-6.591525868112383,-2.7409954248141473,-10.129776126617614,-6.317384208765063,-7.636665670903282,-7.8620575921606815,-3.619724860577623,-3.595715859256021,175603.8117860475,32451.26597047829,0.28630509163113843
0,17,-6.966375415069651,-5.224770329759213,-4.041275977801379,-6.323016251606492,-3.1870021027577105,-3.9214386170317344,-3.909482659946712,-4.1381213845499465,2532.5253162648596,1994.9270862886956,0.001075196459952328
0,18,-1.7495463164056337,-3.4943444755281186,-1.6892384140949641,-3.0768680882408095,-3.3744468666325096,-4.643338363051315,-3.3877544854676587,-6.7863859619575955,15830007.0470439,146731.97617456733,31.366550141738664
0,19,-1.0491958580344427,-5.903224863599749,-3.3017253763048693,-6.02674389947718,-4.588914265675936,-3.7818179135283776,-4.068615316894099,-4.888347528791249,307186.8485259559,230290.37545931918,0.1537929461332735
0,20,-6.802922631929721,-5.6335774363014695,-5.975777830692486,-2.9203194631772686,-4.330198053804762,-6.359498361631568,-3.5958538756680243,-2.5078176315324954,13020891712.93732,2748.9607520462723,26041.777927953135
0,21,-3.9220537571571494,-1.9530560824862517,-1.9715848514613286,-4.206034991260682,-5.933602386064489,-2.631949792325533,-5.767578152487944,-6.049061715082604,1364960.302410879,15118.026766548695,2.6996845512886605
0,22,-4.958292585687744,-6.25593176140096,-4.924919788405022,-5.83493817201312,-5.453562386856299,-5.73698301236392,-0.9795047388484734,-8.17961706629074,140738.15200354674,60496.50705227223,0.160483289902549
1,0,-4.226775344102132,-5.537450453338569,-6.845934231231075,-4.962616284845156,-3.910775654797311,-3.954314676844735,-5.60224298655965,-5.417804222383265,20881.256928778006,15919.631085678633,0.009923251686198746
1,1,-2.909121563546405,-3.9334522008711685,-3.090377323682424,-8.938320667206728,0.30361565264554,-7.433296829552089,-5.9772510037502995,-4.5215858297466545,3613.4025591043705,3359.3294854270375,0.000508146147354666
1,2,-6.176894642672943,-6.502395494870392,-0.5257392328864512,-5.076491886510061,-2.2996338609156552,-4.952551394953978,-3.165136941253064,-6.785045646365129,3428.9464044665124,3359.548215932664,0.000138796377067697
1,3,-5.056935434768219,-6.96130619342315,-6.3548052657313985,-3.9903123226360395,-8.08358782587726,-2.3615591193369783,-5.703674831562046,-2.357506854518102,4607871248.004027,34596.88069739367,9215.67330224666
1,4,-4.487261770233505,-3.6640955608287116,-6.455744942589479,-4.025490789183164,-2.104409389845169,-7.188573334743306,-5.587410644894545,-8.637353722467868,2643.660486188321,2554.8957470998653,0.00017752947817691164
1,5,-5.2055176947493615,-4.067422273819529,-4.816069399302878,-5.24906352810873,-4.369566801465353,-5.050032119401064,-6.190942698308774,-4.303685255070715,2842.7337950453625,2366.1959377745447,0.0009530757145416356
1,6,-3.808377788814256,-4.443788771193285,-5.286418990383613,-4.991653259792021,-4.127329066722013,-2.7335168282647446,-3.874583303361918,-5.098606004362112,127418.6005090975,105773.87008259138,0.04328946085301222
1,7,-2.3275204279113577,-5.395155719487011,-4.268453364029502,-3.4950216859757792,-4.376372339857247,-5.562424750358917,-5.855982980164084,-5.45287751524623,20834.771782281838,8031.807453593312,0.025605928657377052
1,8,-5.2399772966409826,-5.482832934367791,-9.602858892249426,-3.820666648811468,-4.3487547067083225,-5.999069131092528,-3.197015293131577,-5.49850651929629,151407.3350610524,49763.56231935664,0.20328754548339154
1,9,-6.2701992042824966,-3.6827730749522245,-4.51526398618513,-3.4678096568707777,-2.8225911111175486,-4.777421495943688,-8.087984876021789,-2.653715975981242,108366.41308277665,3321.187218451939,0.2100904517286494
1,10,-7.875520056353315,-5.102961475230779,-6.319931111288269,-6.316053159688336,-4.987689592174356,-6.455684449184697,-6.3003316776015215,-4.743360087045169,1594.4067921597582,1312.5344674241899,0.0005637446494711366
1,11,-4.189078468237621,-4.66764150507964,-6.5732126540614875,-6.117556220191814,-2.9314182691548787,-5.2919195051967245,-4.2654221632512614,-5.615632061123899,38148.18899792059,34675.70821072067,0.006944961574399829
1,12,-5.840881797559966,-5.1510265896002005,-6.688047424891927,-5.640685850020561,-9.899467882611262,-5.865657928973026,-6.516151926022115,-6.505697338621034,25685.10968560925,9125.235577423166,0.033119748216372175
1,13,-4.559332247971066,-4.033257622378848,-3.999045288704181,-5.00577763507184,-1.6941440060424355,-5.289893070132896,-5.74739785917516,-8.200017823993411,3070.3246605663885,3023.603120060986,9.344308101080514e-05
1,14,-6.533839990846921,-5.882373542061252,-3.108330505752261,-3.7060761847294548,-3.680257109318376,-5.407132293915525,-5.7680159088325045,-3.4309722368613436,3704.535039565276,3179.368041743813,0.0010503339956429254
1,15,-3.161988923824607,-6.21156287978512,-6.718009247588179,-3.811194181519332,-3.5418376215419496,-5.975388488424104,-5.367207489883156,-3.122591073863494,72032.63443359997,43079.55363332768,0.057906161600544584
1,16,-6.549106513011662,-4.216906301165764,-3.340297964298797,-3.7032934687941346,-6.8034426687276,-6.3704324538185215,-5.262504248544821,-5.526945844385922,7268.35610639033,4532.142709753447,0.005472426793273766
1,17,-3.955586223357619,-8.76662051222392,-7.486365224529642,-3.6372383564660176,-4.053814232668967,-2.0365001625941677,-6.000971685791553,-7.148981632165225,554526.4777628089,9741.194647938755,1.0895705662297404
1,18,-4.135501223289345,-4.152423789235501,-4.614110153110323,-6.774901120891912,-8.119778783108607,-10.080842412567122,-4.297056044863373,-4.513623615835908,245126.55866120607,119587.18855502756,0.25107874021235704
1,19,-3.138987981417662,-3.395331291391239,-5.942755032594806,-3.224517928624935,-3.7783499517501498,-3.7472006315804363,-4.625397058813092,-5.4301684973499915,54069.83824487208,42845.33910948403,0.022448998270776094
1,20,-4.751537124814768,-6.165861737454681,-4.456132410520653,-4.536934852593993,-4.502847835488667,-5.851517741164247,-4.545778498379715,-5.032501255707995,44470.77070121253,33164.173326193675,0.022613194750037712
1,21,-5.185145827562438,-6.2733441812128214,-3.645252237829358,-4.123211850095815,-5.3954781478339555,-4.523606217532067,-4.165828716691343,-2.3957659564436686,42213165777.64703,6845.827985119244,84426.31786363809
1,22,-5.634415753098455,-5.950375889944657,-7.3627018292010655,-3.9955558029080525,-3.390388366603743,-5.797873219565918,-7.126463843414796,-3.4143466441591563,2903.4065181462165,2465.866264996087,0.000875080506300259
1,23,-9.359476734234342,-4.392305138853865,-5.8759735910353745,-3.902526477988273,-3.2202629527394793,-3.4245129059952624,-4.860208201582758,-5.474282502029157,2693.02435659232,2064.6547955616434,0.0012567391220613536
2,0,-7.478406499007126,-5.581646662742292,-3.891568880103982,-5.746371582229446,-1.9860976596007756,-5.791144402771699,-7.8956382681240385,-3.3046606519997996,3454.8440701751006,3418.3088696163018,7.307040111759761e-05
2,1,-4.863467401305013,-5.228628332734286,-8.737924730074186,-5.244972371430473,-5.683690738754035,-5.437877292860146,-6.666773030052469,-7.720051011255313,11256.63525376545,3930.955344443295,0.01465135981864431
2,2,-6.610725525735757,-3.9106713729797637,-4.987914798303535,-3.168051695778081,-2.533497023874168,-7.698885853353472,-6.593762706174256,-6.290731156327,23113.185689924398,3203.465232694968,0.03981944091445886
2,3,-6.795100901805962,-5.361042402266723,-7.749010697066172,-6.493855685590386,-3.9113783996087887,-6.6293215089679265,-7.790643085554287,-4.917970892478964,2154.5674335852195,1932.1871814574326,0.00044476050425557376
2,4,-5.2374483648722014,-4.922156405388299,-5.351578875992374,-4.822631767978272,-5.423347485981632,-7.111869386155949,-6.1409735561692,-4.269975255994674,12265.512062224318,6526.550830285901,0.011477922463876834
2,5,-8.863148345654338,-5.009652521659475,-6.606822609162244,-4.406317283894688,-4.924605411718684,-6.461380932740147,-6.092790327414527,-3.5082146646917165,1080.3544050598637,790.171963932431,0.0005803648822548653
2,6,-5.531379164040333,-5.524390202790959,-4.587000404098465,-6.383541942572936,-3.3203854495898284,-8.604298833207904,-5.766128790754159,-2.502729373559262,168425464.62028736,2676.3930595160436,336.8455764544557
2,7,-6.470741318566494,-5.298200317390761,-9.079606434934101,-5.185821967913088,-3.9145734230752023,-5.282429983164581,-3.947079186728428,-5.690049969978701,21629.191015691267,7756.603173154698,0.02774517568507314
2,8,-6.359973633624898,-3.888310076222335,-6.483387459564302,-7.280056361371259,-5.597910342695867,-3.8700771153312647,-2.8596619675619808,-4.035390972459212,42927.907101523895,4708.310442763761,0.07643919331752028
2,9,-7.147916611663889,-4.852672607802898,-10.617023884531907,-5.260652237044545,-1.6137397552166994,-5.416181795804681,-4.013949530386086,-4.409205494974839,3638.944334398374,2672.886878957117,0.001932114910882514
2,10,-9.730177347301547,-2.338154706153272,-8.786941943907767,-7.7488378554633135,-4.852182121600838,-6.141161145048451,-8.386905773392687,-3.8091440046836516,2221.384522690863,1549.80796726366,0.0013431531108544059
2,11,-8.439960094611644,-5.044964684400366,-5.4936129839507215,-5.756482468671245,-4.795228676662399,-5.3432604400794474,-5.705741127337137,-5.649632165058891,2016.8214933312163,1732.657045740489,0.0005683288951814548
2,12,-8.21316982856016,-1.9975535321477031,-6.6904823588647755,-4.022125065757855,-4.906254292023596,-7.207355668080357,-8.252772025202578,-3.726149344307461,2655.595318852506,2109.3265579056947,0.0010925375218936225
2,13,-4.7058967176036175,-6.405424962124716,-3.022930086075908,-5.37190442623966,-2.1361660399029723,-5.5669379363695874,-4.755546119297824,-7.242616631156393,2759.4957270547493,2747.5347401267054,2.392197385608779e-05
2,14,-4.307060802789699,-2.195595499558301,-4.852886007927242,-4.108929135539698,1.0642620834582814,-3.911141522604355,-7.333053862488994,-3.1431275560305143,197265.64135098254,3278.1088106590546,0.38797506508064694
2,15,-7.072159395476214,-5.412992588124789,-5.818798025597886,-2.480896289634008,-3.5121288396209147,-3.7989653392002367,-3.7886269564866435,-6.61604649693361,1580590.5389982555,2727.066229928806,3.1557269455366534
2,16,-3.055200394956909,-4.19192502966068,-8.488605946757655,-4.929729938539406,-1.7277579934337668,-6.784011816268371,-8.16678273719167,-5.571555643876394,4166.187457406878,3276.6453127413006,0.0017790842893311547
2,17,-7.083387290306731,-4.967575509836693,-2.9058474759557003,-4.706178306287683,-5.16380232746285,-3.4863675608803826,-5.049593245626021,-4.57669758730702,2982.213021620798,2888.2699481116374,0.00018788614701832103
2,18,-6.808427817672585,-5.423506530963521,-4.4056148607164785,-3.2366954657901434,-2.969845984406617,-5.033236850285618,-4.285459535126912,-8.316535201183664,8817.695513054723,3079.6968351447913,0.011475997355819863
2,19,-6.046470577017524,-4.811184147207344,-5.087414812405125,-3.7263866359398294,-6.047485108658105,-4.659490236252536,-7.629429911092876,-4.435413987787451,2978.704395253688,2231.9699429025513,0.001493468904702273
2,20,-9.400926427918069,-3.950320716645792,-5.034108911656592,-2.5295057201983595,-4.639966389288997,-5.121775612739713,-5.816447677008223,-4.572585082113861,869957.6827641136,2969.1479510724507,1.7339770696260823
2,21,-7.383660504623783,-1.6272200109904849,-3.3911124447511933,-8.052614298847582,-5.445296058341618,-4.942254972255794,-8.476564246255716,-5.476471707301887,434183.69630022853,3273.3780976085654,0.86182063640524
2,22,-10.107829533363208,-4.142315299465935,-8.624845482984615,-3.5017437982029995,-1.4964089447662694,-2.3800249364210075,-6.2036778424969805,-9.569499171441542,932971.4089672788,2185.681957969011,1.8615714540186197
2,23,-6.346770692082127,-3.821908029770272,-5.065378154149759,-3.709472377310563,-1.8359324940966835,-3.4970037240919334,-6.545001135332077,-7.67356078557471,3480.196882796231,3292.910183801257,0.0003745733979899478
2,24,-6.4646255537998405,-6.4556180430497365,-3.587151171674989,-4.117229226160194,-5.006848378372078,-7.075563240645204,-5.493518225513777,-5.76386175363642,2961.137978348006,2827.2163407511252,0.00026784327519376164
2,25,-6.601060803654381,-7.204615967317029,-4.947168455922699,-6.158687556631161,-3.8978771033147797,-2.3442293580888465,-5.213355478396874,-5.141005141938116,58001.71697944127,1667.0024533887877,0.11266942905210497
3,0,-6.470704502358374,-5.049707544997884,-8.285407445437356,-2.8731561971931927,-8.610200170590751,-4.776036853313927,-10.044743512207729,-6.769448304273347,1940.43790942155,1059.8627937623992,0.001761150231318302
3,1,-4.951706185268895,-3.0841127631334215,-9.324694263112459,-6.924504677241186,-4.770103602868429,-5.698380752579774,-7.804050900412541,-4.039057649549154,3204.0434750541417,1929.5342367250225,0.002549018476658238
3,2,-9.727285842008452,-4.147581856122102,-8.604768064949768,-4.6477084202454355,-1.3880231851790454,-5.946669965141005,-4.198522662326232,-5.047625760687598,1985.2278318303545,1889.0629498846533,0.00019232976389140232
3,3,-8.996244311322535,-7.0359537275027115,-7.698567929633382,-4.32539779569572,-7.940973811270387,-5.604858937841278,-7.455643365263,-6.168490823252402,1173.3475221222407,847.7083261041887,0.0006512783920361039
3,4,-5.043917333967078,-5.788873938297874,-6.74865266550415,-3.0322536994841562,-6.564311262784635,-6.618505333593662,-10.065090576174011,-2.045101212434363,3061855175.0386424,8062.514610176301,6123.694225048064
3,5,-7.583857738511842,-6.782940141135578,-8.144177400403867,-7.838050250417831,-3.407330612250698,-6.6807612319040715,-7.508468631535294,-3.1595095978158647,3435.577005477897,2182.1199657233537,0.0025069140795090862
3,6,-4.212155715135395,-5.17356557688341,-7.026313912319293,-4.999343615750445,-0.6110726633593022,-4.264092122339605,-5.893464734715084,-5.933897093107699,2974.357436802163,2945.6069787349943,5.7500916134337786e-05
3,7,-7.084474606394048,-2.0815100752677576,-5.790577726680127,-5.040892929860998,0.0383151432158888,-3.2448303177939968,-5.586015583013036,-4.211623565176554,43694.11822732976,3109.3991448217016,0.08116943816501612
3,8,-8.40225134969008,-5.1103841046631215,-8.965656485602604,-4.9883239517598135,-5.28566142863747,-7.592831733577944,-3.9091161567160406,-6.740797091078669,1872.0608512630065,1013.3014323433085,0.0017175188378393959
3,9,-8.534121361456538,-2.5001225748525364,-4.653879838846235,-5.179784936003318,-4.313294647244471,-5.298799079269086,-8.746776330414882,-7.308965410461753,3359.199825678774,3332.4393874880093,5.352087638152898e-05
3,10,-8.966959061367351,-2.778395452111203,-9.525369889799961,-4.210267287270897,-5.4079749100933,-6.579405540294132,-9.652229423817225,-6.679845946393578,1238.1938810350232,900.7478797561977,0.000674892002557651
3,11,-8.06784105734495,-2.4443264632834776,-5.466987149347423,-4.6473032712826585,-0.36837545019826745,-8.896314796556346,-5.864097688663502,-6.804943644901357,3387.2176374174514,3361.8913808138996,5.065251320710377e-05
3,12,-8.050860298673738,-6.708837362204134,-4.800343323850294,-6.057784056570909,-7.331588998682005,-6.972709239149939,-7.816430080694274,-4.688107433614028,2127.9153391097843,1818.2186296331208,0.000619393418953327
