Iteration,Walker,Theta_0,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Inner Cost,Outer Cost,Gradient Cost
0,0,-8.405638549861948,-2.641962486311386,-10.373211082162936,-2.953895023493447,-2.4253558643633246,-4.698072764637339,-5.139304217056969,-3.4942152810006037,-1.872338505891654,155.42510354140416,134.08197526727574,0.21343128274128423
0,1,-8.437543815907643,-2.7430651122901493,-10.216768878362075,-2.671162453197687,-2.2804917134872147,-4.5251608330339534,-5.419217678960289,-3.4716008052795724,-1.8229087931012709,170.5861577002824,134.08983501186822,0.36496322688414184
0,2,-8.323115116564727,-2.5451831542517,-10.15191719779089,-2.9102738564122315,-2.52930422640885,-4.720990648889157,-5.245596414748297,-3.4557444281861813,-1.8845649698545748,152.13845247280406,133.97300122523075,0.18165451247573314
0,3,-8.459036470045294,-2.636979748243601,-10.224088193633326,-2.890938993535931,-2.6165944945518893,-4.598752958322096,-5.150429645209178,-3.4906943127611436,-1.9298797863392494,148.4283052922368,134.11182697823733,0.14316478313999456
0,4,-8.308859868352496,-2.670144442811465,-10.235272541699583,-2.810323783091189,-2.4357887193964367,-4.7950522548099554,-5.223568545834276,-3.329198789038534,-1.8750494101952593,154.84409073250995,133.4817595974411,0.2136233113506884
0,5,-8.562244381698504,-2.602671944991561,-10.111070369885494,-2.946392134822363,-2.6714272760148092,-4.677675601827449,-5.356534946115759,-3.4905087282865455,-1.8464768586370055,147.64704676826196,134.03120855887389,0.13615838209388076
0,6,-8.442978677891077,-2.6437676398916454,-10.143214064763036,-2.894649607260062,-2.437349754768972,-4.695377775260887,-5.1314061045322745,-3.4130501145699625,-1.8080082119704743,149.7597656385637,133.50099126981019,0.16258774368753492
0,7,-8.459557184049846,-2.8673864494069523,-10.315255467631781,-2.92180495218908,-2.444085814495773,-4.838177801689968,-5.350075032380149,-3.310118062284858,-1.9623421878683966,167.85269244934517,133.95174283516315,0.33900949614182035
0,8,-8.426835748604432,-2.5853474587823277,-10.327708343366663,-2.9659869229220233,-2.314349311328479,-4.620790235886056,-5.306236167689879,-3.5423327830145492,-1.8652266236686692,170.81760494603924,134.63984050760342,0.36177764438435805
0,9,-8.353346220811328,-2.7383380645190405,-10.198414345530042,-2.981015671064985,-2.3570631416477545,-4.762616145922486,-5.347284361789746,-3.363643751543428,-1.81556079488315,162.27807520147832,133.7336796274849,0.2854439557399342
