Iteration,Walker,Theta_0,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Inner Cost,Outer Cost,Gradient Cost
0,0,-8.475787927955825,-2.6223602563601296,-10.219072171430355,-2.7039503406778023,-2.359901696013662,-4.789589264435227,-5.088998829900238,-3.572323304933131,-1.8403024293636752,9579.09822954169,5203.6872120705675,0.001383626451460353
0,1,-8.452468576194317,-2.726283287091994,-10.29023146203397,-2.927480175410266,-2.5300321584743917,-4.6233389304316725,-5.187103670919439,-3.4878583897234123,-1.9805838341206925,10482.206931251738,5560.926544749354,0.001556245502566129
0,2,-8.345730584435556,-2.8201651725833856,-10.226458904362193,-2.8019939771498574,-2.3749579400277763,-4.708619471402379,-5.394930911014842,-3.611679087885795,-1.8451114785676603,8603.380491020704,6559.323460676995,0.0006463875883166029
0,3,-8.595445407183147,-2.711907120492714,-10.209337609600057,-2.889441282748036,-2.348423468424894,-4.530684299580846,-5.258212152249484,-3.4992829688834357,-1.806414842620124,10473.947542456273,5879.993702334192,0.0014527357600462795
0,4,-8.225979525861895,-2.79466674650192,-10.181733964894924,-2.8091783868653657,-2.387557775929533,-4.640562383592207,-5.4486939442122715,-3.4773708790152793,-1.8015629474277641,9939.16320866374,6270.155531163086,0.0011602421013546587
0,5,-8.317428958670355,-2.7770410137326036,-10.24799493013172,-2.89124811085066,-2.497042639575771,-4.7705540388620475,-5.279113309368434,-3.543031848763736,-1.7985676372261037,8144.997233723319,5123.77120116189,0.0009553955589088152
0,6,-8.359902166815473,-2.5390210592473976,-10.269894559217668,-2.9006712229919835,-2.5527271859630303,-4.734338588029293,-5.285689210643866,-3.4204676927363735,-1.9324867143888187,11931.294977760936,5542.480058788317,0.0020203206693217564
0,7,-8.468670588875135,-2.4586443791775054,-10.21467697113757,-2.8721018611358713,-2.473862513718808,-4.748746704564052,-5.226353858456682,-3.441443489318668,-1.9151034853313844,11868.83040993538,5513.868432949408,0.002009615429104222
0,8,-8.26961606345631,-2.627177181230869,-10.10155561818301,-2.860270466493451,-2.38052405465142,-4.679056689503979,-5.32537220524453,-3.5828952550253166,-1.903471737569591,8967.237917687347,6405.242317250034,0.0008101741452712592
0,9,-8.444121389173626,-2.6644047196728677,-10.198799255419564,-2.939402493722506,-2.4502008282585828,-4.671778492556054,-5.295972078759658,-3.4240348833890173,-1.8832722426303166,12358.127362299692,6014.420677424775,0.002006056193224076
0,10,-8.476386333152545,-2.774511845479119,-10.17858627584661,-2.789328554710021,-2.482033905670354,-4.837272283819883,-5.125107449939602,-3.5207967115780106,-1.8063194167556154,9078.22579875364,4519.407135120272,0.0014416250416766463
0,11,-8.36822984606571,-2.568857281848585,-10.335793731210728,-3.0564877937414257,-2.3318923375092604,-4.639554037108742,-5.014056920386808,-3.5996962014787464,-2.168100026792742,10955.765951800318,7126.624528503042,0.001210880838051833
0,12,-8.47476102653461,-2.703296022849573,-10.22429844631255,-3.033164826313613,-2.359741281302993,-4.789553609946166,-5.138183866432756,-3.4076464705650675,-2.094208671956993,16936.952291381676,7007.030299915926,0.003140117048082684
0,13,-8.376692241740756,-2.7433272888151006,-10.25678586514965,-3.0207066252969854,-2.537460493332725,-4.664218943216801,-5.341880532320981,-3.473307671002286,-1.879877229377792,10336.136470343154,6292.526665871627,0.0012787016951118133
0,14,-8.333773851692778,-2.614282820057086,-10.140428364846477,-2.9454414544309313,-2.5201512462959395,-4.698699280595036,-5.210150974390302,-3.3088219106400145,-1.7866853304271237,25043.587994725654,4997.777706048206,0.0063390418055858135
0,15,-8.364149546050825,-2.711170917619544,-10.235272661598934,-2.88491065968174,-2.3695910370550965,-4.658322350958344,-5.42634675334456,-3.445473434944214,-1.9092145036300048,11408.652866733799,6893.576708172364,0.0014277924470177683
0,16,-8.266435829080036,-2.7023361735245994,-10.230559109945688,-2.806439870859357,-2.2675208649247836,-4.744144169695452,-5.245632089973797,-3.5161545081445666,-1.8413717517696264,10379.660602406351,6155.540045264843,0.0013357842071706596
0,17,-8.359797410198988,-2.710819499359158,-10.24826954107174,-2.9874635899012265,-2.44289919095465,-4.663062214138181,-5.221652099390856,-3.305513652009471,-1.9193403516431184,26594.222710048394,6122.955948139643,0.0064735829556531515
0,18,-8.379216441845077,-2.790926170749575,-10.219023024214419,-2.8213771020319425,-2.507486058634261,-4.679534660088049,-5.341241907307209,-3.4277990294162652,-2.010382546066558,11934.547949078227,6308.150458077391,0.0017792231093019368
0,19,-8.32133094599705,-2.8104846766972624,-10.472562747119316,-2.8352449677459086,-2.503320676343874,-4.568437761659816,-5.090483306220078,-3.3463987450989023,-1.774001524498188,22599.152546265937,4153.30008752592,0.0058330907153035525
0,20,-8.416174580467539,-2.7351775126367803,-10.17062524245392,-3.09912054569294,-2.2756817682060735,-4.868934757197016,-5.481816671627219,-3.4908245766557053,-1.9242015798679315,11673.193981218226,8621.209044691484,0.0009651223783948922
0,21,-8.37132678250609,-2.7496160703353665,-10.404982324824076,-3.0210621351256837,-2.6770860768629694,-4.678997453532081,-5.226043767467405,-3.401001942392375,-2.0025395889657203,13842.512041404574,5785.267699582795,0.0025479243784661087
0,22,-8.334474352695798,-2.7016363992837062,-10.192267933080467,-2.991612477329146,-2.411901108810016,-4.684005913366675,-5.225604111608276,-3.309793058744102,-1.9207056066623713,25793.633778309617,6235.319066441145,0.006184882168388421
0,23,-8.412311637665857,-2.856420287771557,-10.33318410824481,-2.807571484127996,-2.243297067421119,-4.852620469650602,-5.257719873897198,-3.3596372287422196,-1.8218452079842413,18223.61260562333,6184.686502763791,0.003807042706749068
0,24,-8.391590751544559,-2.7572604965222394,-10.525420027550062,-2.828175832969851,-2.294123094700257,-4.74311971137657,-5.3486530677050395,-3.357866631304477,-1.8570685969398306,16538.56263822794,6511.827041391402,0.003170732198229124
0,25,-8.284155293454887,-2.6337967611218898,-10.376508282246537,-2.8526674045418154,-2.363981639718337,-4.72281657036304,-5.338218293726432,-3.5877863655675055,-1.8541156380464026,8669.99325872014,6263.479294009103,0.0007610065349488951
0,26,-8.246886204066644,-2.6496031668697566,-10.275376142574121,-2.9629253619430713,-2.4674194360581296,-4.6001841229983995,-5.267188230589441,-3.4876903605882927,-1.7991583884156659,10046.281475387492,5616.7944349043155,0.0014007267914125296
0,27,-8.487004234824271,-2.6022110051906733,-10.355916454307108,-2.797521460694269,-2.3257995789111154,-4.669262786626015,-5.406104421608754,-3.204594515100159,-2.0082245068426037,47739.3063454551,7096.952310506213,0.012852240822137305
0,28,-8.466596052909201,-2.6951733443648647,-10.465547598328333,-3.0083940443261072,-2.5367082882680667,-4.7892474074046305,-5.12722742209304,-3.498347622517585,-1.9510954893343555,10772.837802961012,5808.052566398343,0.001570002944111591
0,29,-8.478522930949891,-2.6227298243838604,-10.468116877900181,-2.7842316863706786,-2.5949203185783842,-4.878903959290641,-5.255239073548059,-3.4997850686574,-1.8259583758462743,8487.831637149024,4579.613544279791,0.0012358870766146241
1,0,-8.48240946473481,-2.777968947306379,-10.167608908563345,-2.7485777931979816,-2.363603940971245,-4.680396359604894,-5.084304186285779,-3.5284605603963053,-1.7750956874578518,9958.097224969295,4752.394940842146,0.0016461876038582788
1,1,-8.154587994498126,-2.621586973365101,-10.306613320602684,-2.8674893672248127,-2.6468993334243365,-4.764579685203571,-5.230832766456745,-3.3539290332036726,-2.1468077483348535,17708.541669591497,5619.40065832893,0.0038229220550540987
1,2,-8.376838408099502,-2.5327739062787855,-10.295227705174211,-2.790830305608161,-2.3947664876343038,-4.907945618427925,-5.180705492402986,-3.4221373038183307,-1.765449464389063,12950.291719815314,4777.197933153213,0.0025845591896022546
1,3,-8.479574882483234,-2.574055861681084,-10.277481273822584,-2.791530433457226,-2.4706603824272464,-4.766612814074764,-5.186337916640471,-3.6229258591813047,-1.7396230869190505,6982.777490517859,4466.853549096011,0.0007956050074641089
1,4,-8.413802768271736,-2.7593412445188523,-10.40711085256082,-2.835399661817664,-2.523666418254329,-4.8080172451326435,-5.208615336786561,-3.638642401233187,-1.6995845491366381,6274.088863428873,4158.648552334917,0.0006689609637192061
1,5,-8.249070965510347,-2.703626632331056,-10.321859494335563,-2.819844435692015,-2.570589039020541,-4.720893667462961,-5.087930996445027,-3.3857310437968895,-1.793133880772299,16439.889316907324,3713.4699839429018,0.004024447155056835
1,6,-8.54667020483465,-2.524075828876079,-10.284238758182083,-2.753042534575483,-2.6211751595407153,-4.797568164332735,-5.24287678641286,-3.4024255431491186,-1.8637904898461501,12603.499219122128,4565.362206881997,0.0025418821103179567
1,7,-8.492850419538117,-2.7212889871350967,-10.545066325129069,-2.9714280411980902,-2.7362537129534577,-4.907454339776454,-5.072698760121828,-3.3838000005008047,-1.944906777872949,17384.60862552278,4653.756397070882,0.0040258489596938256
1,8,-8.315532368821772,-2.9446230585143645,-10.374885426693384,-2.968086938621097,-2.516724219414708,-4.6913059512683475,-5.226399442822422,-3.4835116393621814,-1.7287827777162175,9620.538959937961,4935.856118508356,0.0014814267894426964
1,9,-8.335920103719959,-2.6523146561526674,-10.14809276414822,-2.8267969277121066,-2.4275114317195605,-4.832418606330567,-5.252083759886327,-3.6494467761034626,-1.7537049212016438,7116.057618056548,5101.864305652597,0.0006369438515075563
1,10,-8.390214531643318,-2.840425426541555,-10.371709459880648,-2.7902224662211497,-2.5019489099572767,-4.876160765049969,-5.169990878953042,-3.4197474874999516,-1.634906054190281,11915.499464862818,3711.184678886746,0.002594432136468125
1,11,-8.449249757561077,-2.648631757908969,-10.194131703237506,-2.9782506010998246,-2.570115624651649,-4.710856430663597,-5.153126445679398,-3.392023176584743,-1.9467152004018737,15692.636049268916,5302.143058141924,0.0032857623863977005
1,12,-8.447019583550889,-2.823241991317131,-10.361467127239433,-2.8152170050297145,-2.5384891713370155,-4.718227475395867,-5.358257759316238,-3.5259193015591186,-1.7143671049499338,7776.2681402717735,4823.088665681646,0.0009338773478964153
1,13,-8.411018458607101,-2.7432876621188074,-10.315398943438481,-2.9606157599116445,-2.572000778759969,-4.569918820376792,-5.183367278499043,-3.591318043945896,-1.7353800355679454,7384.695797237127,4579.599337385202,0.0008870493869607152
1,14,-8.257931645398116,-2.675028747049435,-10.3044989152521,-2.973461670539283,-2.5586973954318366,-4.782023349142644,-5.153180539310949,-3.5771791469890073,-1.8726499265066394,7939.185003449053,4974.190960759054,0.0009376134423730911
1,15,-8.366982479855407,-2.493343984063306,-10.334982088129294,-2.7284520321156287,-2.459588284585614,-4.729590836037559,-5.177059633225283,-3.3869012767602342,-1.578413865779642,14546.309146873395,3519.1140311561926,0.0034871052768750375
1,16,-8.49074432781649,-2.557062191189122,-10.387483299596115,-2.8486434697502747,-2.4262713487462078,-4.623610488100371,-5.159713310159707,-3.5457565279053567,-1.9430310963099124,9524.81028789097,5599.542184357758,0.0012412787633974578
1,17,-8.454808775159108,-2.474128750794953,-10.303067184633857,-3.0063373367473076,-2.5212640587772124,-4.887116575317139,-5.408774573749753,-3.443078399019748,-1.7452785745391137,10753.149106195513,6463.582264108075,0.001356480139653213
1,18,-8.262275107499534,-2.7976161537258384,-10.314563891576327,-2.794701488557379,-2.546769050572576,-4.749802058571575,-5.2812728545374625,-3.223408753105635,-1.9198746701880647,47997.950757438804,5121.510923591419,0.01355872078341292
1,19,-8.476865017206816,-2.6915815508001106,-10.41462230008456,-2.9871068384458814,-2.578026852252164,-4.827051716481847,-5.16232497396873,-3.4041951797808623,-1.9104712606062895,14620.455050009234,5492.093555321131,0.002886641362859342
1,20,-8.367342660027742,-2.84857687284903,-10.29080400526811,-2.8871586457113785,-2.266136817227312,-4.661403844785251,-4.9080308602085605,-3.594029443365869,-1.935930339138363,10052.90100785574,5169.367380438229,0.0015443089292663447
1,21,-8.43244713988995,-2.862886110037523,-10.267157863485714,-2.90760260965124,-2.633680251486665,-4.743708888075262,-5.293592113186913,-3.4871177436432457,-1.8079682183747934,8571.443719281036,4708.05689213888,0.0012217101856060435
1,22,-8.415146976796494,-2.605508975110967,-10.21154494490829,-2.6480726445248552,-2.44404923814701,-4.8331190384875,-4.995160480273339,-3.428184333065227,-1.7998293566780186,17031.373184495547,4042.709115435642,0.004107376222101986
1,23,-8.323226252152821,-2.7083955527183217,-10.20362649088197,-2.7480494630192185,-2.3316085956462596,-4.74908471012076,-5.39946573248132,-3.499810555400372,-1.8758272775010605,10536.864503088838,6864.773046204101,0.0011612172780201763
1,24,-8.384112465216857,-2.396030487931094,-10.045788498881112,-2.9735693460971397,-2.456065592119437,-4.8021886084043555,-5.1887447672739535,-3.335107595930572,-1.8504228842374435,21953.687651928634,5457.637489371107,0.005216509091007263
1,25,-8.57902911590496,-2.680138427272077,-10.348941551678827,-2.8055828546786814,-2.5719269828966818,-4.806336449286058,-5.328873065635991,-3.625828606678273,-1.8102425197783234,7016.269653818013,5152.625141918805,0.0005893361406474268
1,26,-8.248057315282239,-2.9340101954789497,-10.398968652408943,-2.826041241240122,-2.4669636982523127,-4.82232649913191,-5.197255214711461,-3.503135997071618,-1.7011594879665413,8631.528649173935,4212.105278228355,0.0013975443796767238
1,27,-8.28289585047209,-2.824643606076275,-10.3413814905786,-2.710553232785154,-2.687323111455858,-4.642558289689165,-5.107957475899,-3.2482384402303635,-1.8891213004140246,52398.08208712705,3690.5486064945576,0.01540267450077075
1,28,-8.178936783402587,-2.7076878529442983,-10.237076705917774,-2.688511727431293,-2.6561886834757957,-4.832907290378666,-5.236730011521848,-3.2433306701692923,-1.9322970272393456,42667.21237117051,4497.836898741649,0.012070216335904068
1,29,-8.585268883187682,-2.908453182538837,-10.396775173287153,-2.586138405185282,-2.6114821295960295,-4.615389885639957,-5.11168818040962,-3.4522354622527986,-1.8770735182555522,14550.59858808271,4525.167994474732,0.003170319519973512
2,0,-8.298723784610482,-2.955994619958523,-10.409700667605675,-3.010121254765881,-2.4089170950634147,-4.594229192164406,-5.1115758732989605,-3.323638465845814,-1.6636938531469678,27930.45381211219,5625.300359237113,0.007053508847065445
2,1,-8.262141142877974,-2.8505524286834767,-10.371872651815261,-2.712398635884962,-2.312820379057854,-4.66558329722557,-5.009922551654081,-3.4954575404731965,-1.6654292630738476,11213.205525167396,3810.4800980084574,0.0023409473242665133
2,2,-8.35394892264682,-2.687820017770899,-10.34524926108794,-2.8958244667433277,-2.4481366694177473,-4.732896590520828,-5.242914878774785,-3.222433874601416,-1.6504272414354424,53280.56891258137,5064.394038056062,0.01524729326644833
2,3,-8.746622422644581,-2.576078395591117,-10.099302027582205,-2.6560532259076086,-2.52453266954362,-4.686808326098478,-5.013664319174639,-3.468349272210807,-1.741528915532956,13554.794344236136,3765.709846795865,0.0030955803219755973
2,4,-8.495128418774275,-2.7656156730900388,-10.545853115745127,-2.801393400391202,-2.7434585469602464,-4.759855608348555,-5.184698865930152,-3.6768779872849784,-1.6488908624358012,4684.174823912171,2946.5938558738662,0.0005494713477961277
2,5,-8.346415194256057,-2.530285402163935,-10.280391423161651,-2.831646030868389,-2.5177024165427873,-4.839776908789463,-5.2908303260994405,-3.467329704557749,-1.7491382142549659,9332.482528013308,4685.585523541411,0.001469477858634484
2,6,-8.307121845343369,-3.0860960708910463,-10.394110758333916,-2.5745621730150954,-2.7612786017271764,-4.951278553991852,-5.113711684647047,-3.4870510037901314,-1.6435534979791249,11359.365514719748,2637.025948232575,0.002758245955550513
2,7,-8.271128286931363,-2.6582210791712164,-10.165070531852876,-2.872522647353659,-2.398707415565152,-4.856262739402714,-5.12938434080858,-3.534583928500873,-1.6377689833669904,8292.11038009503,4053.3666375439875,0.0013404084644247668
2,8,-8.344379454081988,-2.6644745919506043,-10.487631112872347,-2.537688514716266,-2.5951001051683913,-4.767925593419915,-5.2171383362950845,-3.4028666259908396,-1.6361178154909939,22216.181082820636,3543.8596171976733,0.005904706503422197
2,9,-8.302761258479883,-2.868494338342036,-10.433599637720537,-2.667201909161476,-2.7509929378551945,-4.860792004560585,-5.032802088805616,-3.1734819264856005,-1.7203748460506436,173186.3504826513,2799.504501073184,0.05388105166340948
2,10,-8.335332419409992,-2.7663536233386714,-10.255255478856542,-2.5398679342970922,-2.487848179900251,-4.96662379589676,-5.042158231696938,-3.3563593819394835,-1.7162293522429608,39161.45395062627,3840.645112418327,0.011169420472814282
2,11,-8.416151143536183,-2.738747054839563,-10.315127557171694,-2.6381947976750437,-2.422111466989994,-4.751193228641817,-5.08286196124688,-3.327163418097021,-1.7112639703850094,28501.163725242226,4034.8180745565523,0.007736937827712109
