Iteration,Walker,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Inner Cost,Outer Cost,Gradient Cost
0,0,-2.614506577556949,-5.134546762986037,-7.809673319027784,-3.933878174700748,-6.374454910943074,-6.4289527886464,-2.107365969699843,-4.395119699089133,1537947.7247362465,1425814.8568307622,0.11213286790548428
0,1,-3.697242789407186,-4.494108772832343,-4.069583329785012,-6.701253741943089,-2.370220957218195,-2.844963691143684,-4.619277493958841,-5.761032755091174,110864.80340226318,7098.264208973309,0.10376653919328986
0,2,-6.569973363222914,-8.112793460560832,-8.861947173668765,-3.0644237687961953,-6.210147135760986,-5.575426190023686,-1.721123732943159,-8.060997338753364,25853.207652039935,6137.14667579608,0.019716060976243854
0,3,-2.5369825207225203,-4.316803952914566,-6.258754182530646,-6.911153870940887,-6.909495821282362,-4.990065876210145,-6.202607353258126,-9.012567232054106,67659.70625912338,24269.968903966794,0.04338973735515659
0,4,-6.490736349229795,-3.0319425619598963,-2.334335835905458,-3.7059376857457744,-3.380440290976824,-5.26895103157798,-4.752428154064582,-4.926387822355075,22949.145241021648,3547.6300692899686,0.01940151517173168
0,5,-7.6209113605975185,-7.840285591906979,-7.112644911807283,-3.569241700057023,-5.905416402654424,-7.0075599142009946,-2.416280496627034,-6.360308547543125,3338.737961275785,1226.3558402735011,0.002112382121002284
0,6,-2.6977928450583466,-3.47856509331018,-5.385533198493852,-7.16207528787816,-8.180826080074734,-2.9128873631644203,-4.787198591127895,-5.390270576672585,395102.1487134298,192882.9185568894,0.2022192301565404
0,7,-4.595073985718451,-4.14613217814816,-4.025774175662341,-7.314684375471822,-3.8767849033203925,-3.515344539087685,-4.169032758988879,-7.9709317078000375,18517.145825491734,17687.329850813156,0.0008298159746785786
0,8,-6.942509713212766,-6.545465949193121,-4.6674341677543385,-6.663539363644266,-4.854385997977497,-8.365661647953804,-4.756737074105686,-4.936301907130374,2642.4420646500143,2197.0457146101467,0.00044539635003986767
0,9,-6.833894468477982,-6.055374885979525,-7.458370678283403,-3.540361221053005,-1.4187683556039024,-3.041548909784512,-5.36131809445073,-6.642906570234487,153724.00796182812,1941.5392132577736,0.15178246874857032
0,10,-8.64907933133863,-1.7972810791864733,-4.438319748491949,-2.6135757964223183,-4.772430271110411,-5.940250977028465,-7.102706887356683,-6.2765333901607185,94206616.60826933,3728.5691349150457,94.20288803913441
0,11,-7.016169166723747,-5.609868108152721,-8.905505467823076,-3.213791856117835,-3.077487208583002,-4.97034676176935,-7.789751378414307,-6.141220204745955,2850.4452175915417,2781.0131044511977,6.943211314034397e-05
0,12,-6.585451383610765,-6.108028489379134,-4.289924039894518,-2.583776522845969,-9.000064144975108,-5.040675984994114,-5.901808510580606,-4.100001829898671,2313907.096103695,3835.025278146926,2.3100720708255484
0,13,-6.399379453578977,-3.865248153329307,-0.5633062063728511,-2.8015344290376207,-3.9643858717728406,-5.511648897098798,-4.808605101963658,-4.515631379445713,58903018.860257976,3337.3526560837167,58.8996815076019
0,14,-6.072663461936912,-7.554866538919174,-5.749167742314479,-3.2225244958892274,-4.582913398043578,-7.732769218492663,-3.1209442607088667,-5.142133309324476,32097.14088120328,9630.254822838404,0.022466886058364874
0,15,-10.018176721914731,-3.749800206038331,-7.225134905728641,-6.987750518053356,-3.164447473790438,-4.954424029726579,-6.92798374196843,-7.0734998645058536,3265.843407604765,3247.4869921786067,1.835641542615849e-05
0,16,-3.156356614136113,-6.395587962023402,-5.20677781874634,-4.04114333639167,-1.6597224538307973,-2.1703337566628975,-6.0343396625597805,-3.000738267637921,10505828.99155733,39937.78305210694,10.465891208505223
0,17,-6.822809672373767,-5.957507523522126,-7.055282650059293,-4.635485616409956,-7.909003458106427,-4.880816247264976,-5.997086930689462,-4.117741839173076,18117.6894530227,5643.8287092802,0.0124738607437425
