Iteration,Walker,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Inner Cost,Outer Cost,Gradient Cost
0,0,-8.32256009734397,-2.5404318621149033,-10.21295898709413,-2.856604804836958,-2.4626113947509505,-4.600073775995636,-5.080351826203746,-3.5874992328805186,51.29200037077099,17.758526535580533,0.0033533473835190464
0,1,-8.243794735762807,-2.641393343868017,-10.416270511800521,-2.9744022402906682,-2.5085916508523503,-4.674431578919272,-5.2365153049150654,-3.5342052731254947,45.36958756366529,10.265452950617432,0.003510413461304786
0,2,-8.581557363492326,-2.628706802083052,-10.259305246530262,-2.89707256204168,-2.472742238412787,-4.731812424117658,-5.196246390708853,-3.4427438787676152,27.763617769859103,0.866173535229862,0.002689744423462924
0,3,-8.38148717305456,-2.549621103683254,-10.2593639649456,-2.9019291801832754,-2.380375828473889,-4.663176899216189,-5.494191526801838,-3.452565740571598,39.42285391746081,12.262079228362067,0.0027160774689098744
0,4,-8.294287673661273,-2.6352271561669305,-10.480476033868566,-2.9352955943193275,-2.294598484875326,-4.820060801981258,-5.5116656087029074,-3.4619799673008753,90.58778054494546,39.55048992522407,0.005103729061972139
0,5,-8.377282316584196,-2.53113970502488,-10.161508272564028,-3.0143238965919026,-2.3463129531084297,-4.7802901935755076,-5.195385251888587,-3.5051891840528135,46.24203840113658,8.55215369973475,0.003768988470140183
0,6,-8.427811945685614,-2.6434185478769443,-10.441381425381715,-2.817904338889641,-2.485010247005139,-4.6738096243071166,-5.230741110997707,-3.3799683766553517,65.45439374503032,10.898932082553834,0.005455546166247648
0,7,-8.504878708373868,-2.529970810972775,-10.260306576564364,-2.752384268139527,-2.6309326679170755,-4.651703024286809,-5.240967991973801,-3.5621245897585685,223.85722980367507,147.98678576716657,0.00758704440365085
0,8,-8.385477556851113,-2.815549161233261,-10.194218687672889,-3.10460422585921,-2.530639627623701,-4.838646131226931,-5.406238199269361,-3.731734134130114,104.23357607493992,51.12126476543593,0.0053112311309503986
0,9,-8.472605098720715,-2.5462034731286,-10.268350316965659,-2.7329699538608536,-2.2600957953906646,-4.5218646891397904,-5.356526949305264,-3.3268587145818196,295.88763760765806,170.44095545997274,0.012544668214768533
0,10,-8.350747062796868,-2.6259474528781737,-10.268550328148459,-2.8893553878503044,-2.5097303110559426,-4.709512037618223,-5.1075198059289395,-3.5476690930451675,28.551284660381533,5.8592708123429835,0.002269201384803855
0,11,-8.429664088833754,-2.7842500988474748,-10.146526118697697,-2.8380610669362554,-2.332195119201564,-4.766433929418594,-5.193518152540426,-3.4228997681377202,92.128799992365,31.119853693873658,0.006100894629849135
0,12,-8.266813714396148,-2.496010709207217,-10.217143719665936,-2.8661343245081476,-2.3738690571382035,-4.67453368449677,-5.205369798384079,-3.6107934154474135,43.85196249934788,18.99160057124318,0.00248603619281047
0,13,-8.57824911315252,-2.7874791084407557,-10.274620234578553,-2.9697221649480268,-2.4305438987699155,-4.7941024138588615,-5.424632902968141,-3.4661360139702158,35.675366991921386,9.652442031076538,0.0026022924960844847
0,14,-8.481478062399745,-2.6545437762452466,-10.175992503281151,-3.0030117950722013,-2.5059314647025066,-4.683174433383999,-5.36287287492866,-3.652020076013254,42.50849354040642,21.147894232455325,0.0021360599307951094
0,15,-8.303624814413963,-2.6105342048546634,-10.386818329573392,-2.832543168995621,-2.3929851465255934,-4.618367300282147,-5.346037564696639,-3.5359804143851217,44.52226288916223,17.82844568626729,0.0026693817202894936
0,16,-8.38299738899376,-2.6667634558956013,-10.273306484441598,-2.810322649409692,-2.4008281918087024,-4.607182749899669,-5.308179031807518,-3.4489299050890265,87.22516990370913,35.784741304430035,0.00514404285992791
0,17,-8.469859192538943,-2.8026102112648124,-10.286017220872704,-2.9816305425959766,-2.4570213640839853,-4.715070648701962,-5.406250887933987,-3.322924241009367,75.52412583157583,8.84331316287569,0.006668081266870014
0,18,-8.536521711488259,-2.6275745354032516,-10.111036696936013,-2.8364869942008704,-2.5279011059336427,-4.748856483129421,-5.256952106986426,-3.382481893409101,94.977221939328,29.343837539837804,0.00656333843994902
0,19,-8.456225460976425,-2.6454330315010424,-10.256889296331794,-2.8651265955880243,-2.452146551115177,-4.727089687474241,-5.230099546268992,-3.3453708039869126,70.23815076089326,6.738033727196133,0.006350011703369713
0,20,-8.419736796987223,-2.569840802797506,-10.344503893603267,-2.7865549593129084,-2.5435305049841235,-4.708944746461958,-5.34041453811415,-3.312579749706468,138.6555326130756,43.429352743642866,0.009522617986943272
0,21,-8.397133313800708,-2.5682279027909014,-10.205153154202623,-2.841547672632596,-2.4694607028344326,-4.89030894476945,-5.254120345754265,-3.4141107549675382,64.35541841496885,16.868452919504904,0.004748696549546395
0,22,-8.333476950542266,-2.5856103865299196,-10.30080805373902,-2.946110045783003,-2.4806968381770904,-4.637025912237855,-5.2164752209534475,-3.359163014582872,72.81239506314711,9.066459428338682,0.006374593563480842
0,23,-8.338108051391115,-2.7053867774736964,-10.088995794142374,-2.9769730443905233,-2.544472640719525,-4.93506152335283,-5.11028930472741,-3.4202543828943215,49.67494988274934,4.044455028034749,0.0045630494854714595
0,24,-8.242363413376538,-2.5680209164017165,-10.253865830353833,-3.0524561132822883,-2.402562568611768,-4.739445457573564,-5.166213722091335,-3.633762375746515,74.90021753507833,21.821998953145332,0.005307821858193299
0,25,-8.528617848217376,-2.690186635052624,-10.129204275431706,-2.9658614273898185,-2.392264469527427,-4.767454547535274,-5.37635199404468,-3.5016348758976754,27.851630859717474,8.442671355328295,0.001940895950438918
0,26,-8.387974145145275,-2.6778119725337786,-10.227102648797516,-2.8431580768916507,-2.4267265702743126,-4.707217345669794,-5.219817327346189,-3.5674778517379084,62.771380616022945,28.082036817677267,0.0034689343798345674
0,27,-8.515663950542994,-2.7992506668475707,-10.434151841674996,-2.967268484514192,-2.504194481943206,-4.854162505912343,-5.040920113651297,-3.4951725188875056,42.843028627689094,5.403599899346388,0.0037439428728342707
0,28,-8.296891153609826,-2.6152959033688004,-10.305562305512247,-2.8786695731487684,-2.406502765819575,-4.625397171091042,-5.467560093461489,-3.3551733654095743,47.51332174377784,6.7962841176750075,0.004071703762610283
0,29,-8.299459987675414,-2.731943884441417,-10.119852559091113,-3.0621525860655474,-2.5277069648126345,-4.713916223350757,-5.333370533205899,-3.484710585778509,54.94336896716756,9.795449348986946,0.004514791961818061
1,0,-8.367585062890516,-2.7107754691504446,-10.150428115107012,-2.8922891956372476,-2.5272419056917,-4.755989967275819,-5.295429770773077,-3.463616533963754,26.833049797970926,4.269704490947289,0.002256334530702364
1,1,-8.659407762260667,-2.808161356787532,-10.277276357112251,-2.9501614567128196,-2.5098070046930223,-4.909750373618301,-5.33847082069386,-3.3316453538130344,58.99910316279085,3.2944357687362733,0.005570466739405458
1,2,-8.400796227049584,-2.4472402174365837,-10.322474070516455,-2.9855901500903443,-2.3774591996018852,-4.756772297676921,-5.224715155999506,-3.5121051513826993,47.359975460499214,10.324904728133538,0.0037035070732365674
1,3,-8.483756551617464,-2.71854842569108,-10.088174678138003,-2.9550749762709043,-2.54575898932571,-4.896051160953059,-5.112687086762457,-3.515353203250893,27.73032074808227,4.3367903753062915,0.002339353037277598
1,4,-8.388436882728866,-2.604952965243283,-10.337222322530558,-2.9031385033828863,-2.6218468342364503,-5.012093026851354,-5.05906521428998,-3.5766488981937448,47.1920123298838,11.98740194035194,0.0035204610389531865
1,5,-8.254204694966187,-2.7226332278992844,-10.371389430800077,-2.861914303747974,-2.275995820521054,-4.787271062491705,-5.264565147468417,-3.421661566659151,41.04900997048115,5.875214495586892,0.0035173795474894264
1,6,-8.573291185897073,-2.818717122958188,-10.143633109526817,-3.0757443701137346,-2.425773661845479,-4.862998684399727,-5.2115584291880825,-3.295880685961092,143.289159569616,13.003537091525102,0.013028562247809091
1,7,-8.540867042008472,-2.6471830536591976,-10.103660356635343,-2.906510336296097,-2.48179585441227,-4.780001862851069,-5.2640366027366365,-3.5621057289820746,29.590899432479922,11.275003353360445,0.0018315896079119476
