Iteration,Walker,Theta_0,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Inner Cost,Outer Cost,Gradient Cost
0,0,-8.448284532787833,-2.799985381248982,-10.221669493766173,-2.998536597981402,-2.5786653065027867,-4.532663071368028,-5.346333531055967,-3.449403434573087,-1.969221622925918,1751.3733509096219,275.5048120990657,0.0014758685388105563
0,1,-8.384049575527202,-2.7584230535417604,-10.286940277426298,-2.899808837643481,-2.301668011461174,-4.4977346090913946,-5.158134335769243,-3.558592960408237,-1.864806193752692,1763.5923697114495,473.9433524239363,0.0012896490172875131
0,2,-8.475607348763711,-2.5270694890355765,-10.112706361789858,-2.8991224012208137,-2.3934349862591557,-4.689095704980219,-5.220218708232221,-3.465672902735705,-2.0345704245729763,2439.34352857097,657.1720420688825,0.0017821714865020877
0,3,-8.40423333129967,-2.763750576984821,-10.240785490454888,-2.944651649003315,-2.3487496260936958,-4.772765213894476,-5.205460467264877,-3.3660639596863797,-1.7314015363703446,4297.2056154365055,415.6494830219319,0.003881556132414573
0,4,-8.34553085328092,-2.711881578692197,-10.221155692171518,-2.839658936644973,-2.447598327764828,-4.790316216340644,-5.331726409241271,-3.46159256413329,-1.8749069901312436,2176.326992404998,724.9304842303353,0.0014513965081746625
0,5,-8.191176786512825,-2.6551283679966584,-10.299659243613384,-2.9612048611199544,-2.2760755706666083,-4.6364047142730405,-5.1529886100859095,-3.5476526247971676,-1.8756113555803064,1648.3558400861377,350.92865684641424,0.0012974271832397234
0,6,-8.297297781012166,-2.5047528998606112,-10.20241264750114,-2.6659657730423962,-2.3794597457993087,-4.598940176553203,-5.2313255396844776,-3.5617669898191515,-1.691745984460518,2903.35530043795,1396.5626358532743,0.001506792664584676
0,7,-8.26331055395339,-2.705135134621374,-10.28093559171708,-2.939534656835301,-2.616372088462195,-4.614107323736222,-5.203567642213836,-3.33518016425188,-2.010498675647482,5233.041313669536,366.8088323170918,0.004866232481352445
0,8,-8.26283784200496,-2.593639321081646,-10.251664170561078,-2.983758413766333,-2.400324576034778,-4.613245110440364,-5.2835894494843245,-3.591377698658953,-1.7181880457532515,1253.1211391111015,449.457578770723,0.0008036635603403785
0,9,-8.132925529331752,-2.705426874781315,-10.301098081533203,-2.9849776143204525,-2.4467339872257083,-4.504257966902014,-5.386669682905102,-3.427416781255683,-1.8484420163864774,1997.7586973185244,301.3938116726149,0.0016963648856459094
