Iteration,Walker,Theta_0,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Inner Cost,Outer Cost,Gradient Cost
0,0,-8.489946918480475,-2.8215667466824605,-10.306142760936304,-3.0591400435973473,-2.4532290000804537,-4.757380742257291,-5.291015160541392,-3.420057418337589,-1.821119610761155,7904.496842908851,5535.392268601665,0.0023691045743071864
0,1,-8.338687358485384,-2.6350830582833824,-10.381540410456612,-2.92218820433662,-2.3678934791814017,-4.672104893053232,-5.329931822889981,-3.5369074866482677,-1.9593887828258747,7308.724262045607,6154.56840356794,0.0011541558584776675
0,2,-8.426215146419395,-2.597836263422491,-10.18526725049569,-2.9739540290280697,-2.5200806796538666,-4.635831922769431,-5.2418003742443755,-3.383712239676434,-1.8971790333013876,7966.883534679973,4752.366927292887,0.0032145166073870865
0,3,-8.406829605000484,-2.779745053278973,-10.333066631574983,-2.62199874431769,-2.386969740438499,-4.803347588298019,-5.419413715603916,-3.3995732217563392,-1.900937238630721,8911.845893554111,6120.684744527931,0.0027911611490261806
0,4,-8.574677113769447,-2.7226486654695363,-10.472827060605907,-2.910857405958782,-2.2292991857602003,-4.723856220565448,-5.372974033155036,-3.4569814797504184,-2.007369558190692,8939.77310573544,7286.130441296522,0.001653642664438918
0,5,-8.521186064386534,-2.650562636237697,-10.237111818807705,-3.173220392984037,-2.39947455883828,-4.9195623199340766,-5.419176857910904,-3.444666245783898,-1.6317913201923875,9518.04302402254,7196.518051386101,0.0023215249726364377
0,6,-8.376679946823067,-2.836331362188508,-10.19632142903968,-2.688229697827955,-2.5966537444584503,-4.631306748003132,-5.266464779539447,-3.416452889738215,-1.8378398512020726,6323.560639324219,3691.250406145091,0.002632310233179128
0,7,-8.389738317924854,-2.6707952504811967,-10.236070364491905,-3.0517127200182093,-2.379144961416626,-4.827339110853182,-5.420159067125199,-3.637317537878432,-1.8676338408236974,7380.374706667207,6675.02440908985,0.0007053502975773565
0,8,-8.404571836885433,-2.6498062123645347,-10.356246843327957,-2.8831447472130267,-2.5806472886092626,-4.60065972286327,-5.357498391149875,-3.4778734996360203,-2.0961914318294257,7134.574233055794,5738.716088090323,0.001395858144965471
0,9,-8.43956889044535,-2.8863191741633263,-10.312013491711914,-3.098038446221148,-2.243988297836089,-4.892668319306949,-5.2050628256398435,-3.4624880760220806,-1.7995406739871476,8490.627306370963,6239.396927615364,0.002251230378755599
0,10,-8.682746355062791,-2.6442855228736,-10.331186951542394,-2.903271912037457,-2.403175734896877,-4.751191701873994,-5.287726618149672,-3.3936142402217433,-1.69283732728575,7253.782018667951,4429.543795340257,0.0028242382233276933
0,11,-8.281588726589485,-2.7524872106404796,-10.144022292459619,-2.959851932779835,-2.452502115457935,-4.653105315063888,-5.235497684941764,-3.2417923370302413,-1.8375533016459078,17221.502785913704,4613.010442171995,0.012608492343741711
0,12,-8.258581686566089,-2.553561977374937,-10.369851770515456,-2.8331480931736825,-2.3365834063978865,-4.6595492013938316,-5.411443708503158,-3.581260324532298,-1.8562788979650606,6892.213533658965,5972.987650649711,0.0009192258830092539
0,13,-8.392091970479703,-2.690012661170726,-10.233965613755371,-2.870746981709153,-2.4310037115105265,-4.691581044998648,-5.21570016418869,-3.56429184650419,-1.931112114720152,6142.126424977772,4944.876657039832,0.0011972497679379399
0,14,-8.519611452764812,-2.597197198151913,-10.205567234342796,-2.933544195387532,-2.3051308679484652,-4.73253525052217,-5.167002026392316,-3.474069574442517,-1.9477793978336768,7674.778768477613,5592.041290662197,0.0020827374778154164
0,15,-8.405650667644325,-2.7330925507829766,-10.32432134786728,-2.9269816149346988,-2.4285688277651554,-4.780333858843986,-5.310216185394478,-3.436856414876971,-1.8890780386542236,7297.337610017915,5330.814133376193,0.0019665234766417213
0,16,-8.434113271308272,-2.805164718845591,-10.22034903304874,-2.919890763215681,-2.5328228648296585,-4.682806394544139,-5.227543434350611,-3.4185597184384875,-1.9805985680943874,7238.154233754105,4724.954039383081,0.002513200194371024
0,17,-8.406442759543697,-2.516289580294848,-10.209485511549657,-2.7000635239037605,-2.494566850741231,-4.6165522282539975,-5.342418809332026,-3.5821945308390513,-1.7934228662497187,5665.68694523294,4459.948802629019,0.0012057381426039213
0,18,-8.43461309121154,-2.800545108939157,-10.218641253167435,-3.0049269607344034,-2.591069732609114,-4.713196932280696,-5.322050997434595,-3.5762508156733688,-1.9317549344169724,5947.328493963001,5016.163997773429,0.0009311644961895717
0,19,-8.523558735463325,-2.7387636210877435,-10.221217414542327,-2.995880837032498,-2.369438246347143,-4.754443605428767,-5.297028736186769,-3.2739071287041197,-1.9050701115953368,13684.39045451768,5848.874759408444,0.007835515695109235
0,20,-8.43791744016384,-2.5056749264214573,-10.088688952479055,-3.0160421785114226,-2.4348965961102347,-4.78247184791463,-5.297756841257255,-3.3447196447726752,-1.9529722909035034,9841.97420965071,5863.846954170384,0.003978127255480326
0,21,-8.380871748909195,-2.8431174722276618,-10.227751860618573,-3.015789971744123,-2.415076990089726,-4.883163693975196,-5.339901575894954,-3.4653082841636937,-1.7434492552538956,6838.82565116774,5222.434836224891,0.0016163908149428488
0,22,-8.453602965907008,-2.647255557475977,-10.37676675122451,-2.867493417343209,-2.450713664729276,-4.680252547620373,-5.339548842933815,-3.4403145333383747,-1.6741466033397379,6045.881591422481,4150.999848358633,0.0018948817430638474
0,23,-8.418031196601069,-2.535778620701845,-10.341231962446177,-2.882999787004955,-2.455110432527785,-4.694213941967388,-5.295265584708749,-3.3592515500842426,-1.8858991615793361,8485.777494254085,4936.29566668196,0.0035494818275721264
0,24,-8.300681793872931,-2.7002427316277156,-10.420458880261503,-2.953162109442063,-2.5253195094121526,-4.735553901007684,-5.1993442329771025,-3.52102289026488,-1.6452706536005888,5147.088360485552,3653.1769327223356,0.0014939114277632167
0,25,-8.374815540040293,-2.4944523788602,-10.510806149713538,-2.7977675243597604,-2.440215066151599,-4.6160645923094386,-5.134974744428002,-3.407359807416274,-1.77086711505535,6861.136959025696,3451.393341621857,0.0034097436174038397
0,26,-8.470881131154378,-2.8492894419626102,-10.301970205442093,-3.0339640201463345,-2.2940346450922156,-4.742038291716798,-5.310806362391501,-3.533279805856875,-1.8228595292806191,7454.649066056787,6187.860004585341,0.0012667890614714461
0,27,-8.40917834745824,-2.621373440999958,-10.246252678112752,-2.822260408032607,-2.411444483198179,-4.691311172707884,-5.291622532507538,-3.346806754333283,-1.5979367476491633,7604.174242041501,3536.8692856216485,0.004067304956419853
0,28,-8.359569386649419,-2.7297541014371416,-10.445979105878742,-2.7893161571463128,-2.5368349904703056,-4.580360830188745,-5.1176870022609044,-3.4572176271325983,-1.6434965907789585,4833.855445786924,2383.825267522168,0.002450030178264756
0,29,-8.205215461848343,-2.477839331750452,-10.28719344496935,-2.944845874863829,-2.3936246946132975,-4.584892444168938,-5.2926057064717345,-3.6102263196403315,-2.011933085060787,7043.875220727712,6112.659939914734,0.0009312152808129779
1,0,-8.385438613286514,-2.6057663006036402,-10.226434448709593,-2.7596218378762063,-2.553794053668938,-4.6561068756532356,-5.206654396367805,-3.4965829021128463,-1.9310114337262645,5794.491331301935,4097.912203726748,0.0016965791275751875
1,1,-8.355156774237802,-2.562067956078211,-10.159937010554392,-2.8595737045694762,-2.3742837718983534,-4.766783584321181,-5.314310218432425,-3.488801498612482,-2.012772240582929,7647.497771409624,6167.4445833817035,0.00148005318802792
1,2,-8.286231569690708,-2.590604022278342,-10.329674423674549,-2.811134966153102,-2.574084512343679,-4.776727717094838,-5.144932869969843,-3.4695697804933077,-1.6614006538491228,4436.457015662927,2350.372591074311,0.0020860844245886153
1,3,-8.483169897733585,-2.6997978451138667,-10.286059366196707,-2.904828863368177,-2.3303859677413348,-4.6371520202845415,-5.109995805610644,-3.5518824801270523,-1.5641360592473155,4883.9022500527535,3297.4990816548743,0.0015864031683978795
1,4,-8.596447059734423,-2.3761621976994673,-10.071473856561772,-2.738659324472538,-2.485195106046775,-4.628491331041696,-4.996704213310319,-3.417836972594607,-1.5181492926097406,5857.676883149283,1630.3110823192835,0.004227365800829999
1,5,-8.337745015398186,-2.7823876327012083,-10.178509095715508,-2.8637659095351897,-2.610848970512052,-4.703633230715082,-5.1924909208682415,-3.54258076171303,-1.6046006609164107,3571.1370103413897,2265.791973519143,0.0013053450368222465
1,6,-8.26444305850333,-2.6067426600442194,-10.196225811464267,-2.7327915871821697,-2.5521303639710466,-4.519041365855508,-5.452848848782365,-3.68700622032219,-1.6672245330045299,4748.203089007313,3942.2705441141943,0.0008059325448931183
1,7,-8.324022373465436,-2.629086482846956,-10.093823710208602,-2.972597097497842,-2.412454853082853,-4.717328365362705,-5.2138383520672615,-3.396703628080673,-1.6543492423579766,7321.7655875451455,4136.772218639023,0.0031849933689061228
1,8,-8.653051646088135,-2.6716765813467407,-10.321320662161465,-2.8810488849521443,-2.3497065127248065,-4.61785289570621,-5.438598267632163,-3.408373398458854,-2.0005295340094484,8788.197539775445,6813.905673775794,0.0019742918659996513
1,9,-8.55672044342135,-2.6072477914128185,-10.309628829521028,-2.654676709909479,-2.33297749972696,-4.645645349279866,-5.236439660294218,-3.4033303596724602,-1.7915433947600243,8065.189688739618,4675.973354981108,0.00338921633375851
1,10,-8.624009073293411,-2.628660729224285,-10.203797047602404,-3.0520074638041126,-2.566653132972159,-4.694043481519294,-5.340467155440201,-3.4547237925150656,-1.7703211149084537,6882.913235288582,5122.599279461595,0.0017603139558269865
1,11,-8.331712145124824,-2.6980069621369256,-10.351816334966117,-2.729828209094302,-2.499894993406911,-4.97458488335381,-5.084666040181003,-3.3712515259899853,-1.9534019530246045,8727.100808154977,3806.109945205461,0.004920990862949517
1,12,-8.354889198949724,-2.4111338053550417,-10.482033898831345,-3.0149800964983675,-2.601890260566851,-4.764474877946281,-5.2396973215281175,-3.3604233757373536,-1.7779809165452063,8991.247524404836,4999.159337000094,0.003992088187404742
1,13,-8.213628574070325,-2.6058177369600237,-10.230212617660593,-2.7713891028351822,-2.33321988586667,-4.512907165678234,-5.29655876952208,-3.5535533281930194,-1.9892459464118768,7363.646125431749,6083.663798650082,0.0012799823267816677
1,14,-8.255173269625196,-2.6842947439526745,-10.25949198225509,-2.739976365894385,-2.5861756438063033,-4.665439503853707,-5.30472083240705,-3.573523878455163,-1.8574333582932185,5121.2912508235,4034.724979301485,0.0010865662715220151
1,15,-8.425822580077503,-2.6331493096831116,-10.533762309255241,-2.8854036332833632,-2.572942191096084,-4.702286936626926,-5.150681041991892,-3.2578962137675993,-1.504052560581979,16190.379430938176,3306.4129813387735,0.012883966449599401
1,16,-8.271976103560815,-2.6572559712234853,-10.087120447380498,-2.6982943806856388,-2.4577095375062044,-4.9656685531534634,-5.192736130150336,-3.6070094759195364,-1.4319650427401436,3264.207006039781,1952.869341361618,0.0013113376646781629
1,17,-8.452608423882548,-2.5687152467143806,-10.389274453027838,-2.8116228268238386,-2.3225555359058174,-4.625010504373579,-5.285054599667022,-3.5280793968134465,-1.6962062378691218,5858.1539502220285,4462.147351939202,0.0013960065982828263
1,18,-8.336121520031192,-2.6407318113588216,-10.342669488052957,-2.945571510105232,-2.6439553128502187,-4.7172206846576765,-5.179459612905028,-3.2831339527147536,-1.508457585038537,12635.551855715272,3495.5511182160594,0.009140000737499213
1,19,-8.531707026984819,-2.768568545003272,-10.453285801815921,-2.8365031047439584,-2.7229967207683896,-4.803941157148709,-5.50679606318256,-3.448525107667563,-1.726365999489231,5015.853588046301,3728.8755732854897,0.0012869780147608118
