segment_0,segment_1,segment_2,segment_3,segment_4,segment_5,segment_6,segment_7,segment_8,segment_9,segment_10,segment_11,segment_12,segment_13,segment_14,segment_15,segment_16,segment_17,segment_18,segment_19,segment_20,segment_21,segment_22,segment_23,segment_24,segment_25,segment_26
4.352899786622421e-05,0.00041827817124073216,0.9411746186278764,3.7150417584193364e-06,0.0007010026357982098,0.0066000282928221415,0.00526861045280206,0.03124107780341433,0.030789100488466385,0.13247162125519063,0.14076316956240784,0.4401221472597122,0.48711431947979983,0.87288006789497,0.9179451969497074,0.9797141082918065,0.9349626052559556,0.9558645038001125,0.8551675735933452,0.870117394099912,0.7121843804308391,0.695191346660241,0.4328176161279939,0.3741639395169271,0.022459489859284677,0.7591212116460235,0.44261398028715826
4.288248307099635e-05,0.0005245709303427245,0.9407344044241738,3.864040191318448e-06,0.0006872278186672353,0.006606034381314055,0.0052501890328350495,0.03125851686267518,0.030776828966853086,0.13254122475102514,0.1408394637438826,0.44039100440256745,0.4872559208912332,0.8731269094395657,0.9179986040523473,0.9796467859374319,0.9349644073839748,0.9556396637540973,0.8551551995290857,0.8698847154548599,0.7120606922686603,0.6950879476549489,0.4325118758612734,0.3740617996171114,0.022637858712195057,0.7596913914968237,0.4397396487393998
4.167017333937158e-05,0.005120142261468297,0.9005581570374482,7.459354390182172e-06,0.0006978087885644415,0.006584809065855082,0.005334720547474846,0.03119784730831296,0.031132555402071816,0.13241432044971232,0.14208360048538796,0.44037669207889935,0.489669234966136,0.8732082910882573,0.9183746668557994,0.9793806528879514,0.9350642447327118,0.9549927264263649,0.8552671374088625,0.8689768299569924,0.7120795275201535,0.6938888453971863,0.4323633109025737,0.37226672550473083,0.027500494197763087,0.7578814210775509,0.4318518819897851
3.6909168467836214e-05,0.01946009958109403,0.7832392282230879,1.8201301600860132e-05,0.0007072078945971215,0.006535786838994816,0.005546186461758915,0.031059043247818614,0.03214590830967977,0.13219335986045472,0.14587749111955828,0.44090740349161456,0.49699062634930014,0.8739722367450735,0.9195764416654169,0.9784647198709453,0.9353388043688732,0.9526343317951801,0.8555054214701716,0.8658462065772199,0.7117603511273277,0.6901740044777663,0.4311961963611674,0.36680801954684406,0.041606395801946895,0.7532767726748953,0.37648957668765226
3.0076492501382427e-05,0.04679361319291487,0.597232579883384,3.8843160102718234e-05,0.0007639692035100018,0.00643920499007154,0.005997751241711538,0.030787565963696223,0.0341897719339335,0.13172578727251136,0.15330483612701323,0.44174299150251756,0.5110576019069121,0.8752764616117128,0.9218620344794997,0.9767105849935259,0.9359073657280468,0.9481834539550126,0.8560426637382135,0.8599231505272027,0.7113030219528667,0.6830343718534911,0.42916567383940407,0.35635972602573274,0.06803782796302922,0.7446801820235248,0.2952447119889491
2.271375469987271e-05,0.08512455775291052,0.4130241416134729,6.767924558289999e-05,0.0008748688155865289,0.006316155360136862,0.006688018451742085,0.030448800458636686,0.0372366239156551,0.13113476944878344,0.1640574969945433,0.4429726381622357,0.5306778217474356,0.8771745453578462,0.9250632100780015,0.9741122799412353,0.9367963039209919,0.9416635575544925,0.8570878242300479,0.8512205148863643,0.7113078053727324,0.6727069511980248,0.42683550900704303,0.34185428560661985,0.10544982557980867,0.7264193365765605,0.20583852963073307
1.831166158934881e-05,0.12550754204014172,0.2807217878471722,9.770988225624616e-05,0.0010186990698466173,0.006197867597966031,0.0074737216137836715,0.0301452697942818,0.040614248548096595,0.1305993350147334,0.17572929293906844,0.4442430006379733,0.55129703761962,0.8791510009791481,0.9284176953205276,0.9713408887708067,0.9377592723508716,0.934842174485354,0.8582580380277696,0.8420681970707199,0.7115911762931748,0.6615277416133004,0.4248186084086461,0.32666068928890496,0.14484226939272268,0.6969572126600666,0.14112295856364135
1.4061170650753992e-05,0.16417116738510731,0.182189225805946,0.00012660235577762765,0.0011716902265756243,0.006094581109054674,0.008263225528837003,0.02990438540209562,0.043976076792223366,0.13020428393581285,0.18721434843935295,0.44553607881889173,0.5709823154264428,0.8810822321013824,0.9316178775983721,0.9687037723805623,0.9386954745376881,0.9285106534923214,0.859365986316941,0.8335871350638318,0.7118346221079265,0.6506877793960432,0.4229399614489528,0.3121271068300546,0.18249028553774455,0.6552311686290471,0.09408547687139654
1.2207719264509145e-05,0.42429753673578896,0.004404995044650366,0.0003194209590624343,0.001764653248676767,0.005783083827724753,0.01112111622425532,0.029312425962853696,0.05598948815694976,0.12936295761497169,0.2277964575455273,0.45022079087835365,0.6384744968285151,0.8877970689238046,0.9425701108519627,0.9597478350465183,0.9419491218966523,0.9077336859279637,0.8630501998494597,0.8062177300978297,0.7123382525034365,0.6132117782763012,0.4165516814191601,0.2148007010187625,0.31164731988429967,0.605164249428775,0.01608785231333784
1.3983167778320774e-07,0.7065876675678424,0.00556651100524353,0.0005264664441729098,0.002890897241185313,0.005509683536874452,0.01598052386130309,0.029403191470987713,0.0760057674137184,0.13105910970074025,0.29246529051019465,0.45894115761025733,0.7302617015523053,0.8978425939108313,0.9573515216660217,0.9483336839283307,0.9467069724322825,0.8856219657443092,0.8669854803076104,0.7764813280880265,0.7093049621331434,0.5580419227046338,0.40497234739860705,0.11042761648163682,0.4872881925250487,0.5525356376507452,0.0031269460370738204
