Iteration,Walker,Theta_1,Theta_2,Theta_3,Theta_4,Inner Cost,Outer Cost,Gradient Cost
0,0,-2.64820478962028,-6.083259024798364,-4.403657970505854,-4.765714840909047,28.359494368372317,1.235803226565125,0.27123691141807194
0,1,-4.780762863131135,-6.511078717326584,-4.483460109216731,-4.463166411467023,61.263280921043595,3.9729285125337928,0.572903524085098
0,2,-5.476844037534743,-3.9381805468292743,-3.5193219547327206,-5.921688826306021,443.24893475770807,20.009957392321425,4.232389773653867
0,3,-9.599380728552415,-5.471325383888788,-5.072880665816288,-7.108771034947464,23.12011881656844,0.6078303707932142,0.22512288445775228
0,4,-3.9660035450208873,-5.039156709338032,-5.955563489455971,-5.1861289535726485,1.4695748306367287,0.0652401364893076,0.014043346941474211
0,5,-3.5172827614187074,-6.696565892077569,-4.9317930085274435,-8.208699289912742,16.629565858721644,0.33855215865569277,0.16291013700065954
0,6,-5.247062597787251,-5.872024734202242,-6.036538596498283,-5.268791976126146,2.556695984805213,0.10427652921183941,0.024524194555933736
0,7,-4.942686455020705,-6.966107624358154,-7.761017478649684,-7.858412440792182,0.4933534806884131,0.06195977591401237,0.004313937047744008
0,8,-9.264497357251848,-3.6837967327906824,-5.0631352092447965,-7.079744651638922,23.554570201474057,0.6225638264367175,0.2293200637503734
0,9,-3.7374274413143085,-5.1496393952378705,-6.692930304373649,-7.716749626767588,1.3508264832371029,0.22075460225183713,0.011300718809852657
0,10,-4.688207854505151,-7.249438969094445,-9.90479691262578,-4.768394835846725,0.8295015927724528,0.09875936202728491,0.007307422307451679
0,11,-2.29032214135233,-8.403274643047258,-5.1677071387074225,-3.2284057720658073,0.23555556813225464,0.04709233576442515,0.001884632323678295
0,12,-2.8956662515657188,-4.231420508016174,-4.054679007829879,-4.009890745314813,97.41148774222651,7.886691949223708,0.8952479579300281
0,13,-6.594565294089995,-7.699759544212501,-5.980664702865697,-5.958850532915263,3.727840004309701,0.12974517529101823,0.035980948290186825
0,14,-8.282609174931098,-4.974628284213475,-2.0380227164833515,-8.985174531147628,7866.060228796583,534.1231103424185,73.31937118454164
0,15,-6.481733185614016,-4.957199072790042,-5.095740129853533,-3.888444696066454,26.597231342703502,2.3991303283100045,0.24198101014393497
0,16,-2.9400365253658642,-7.812860352290253,-4.05353185594675,-7.7364267408812175,102.83697840895464,3.6185866170496697,0.9921839179190496
