segment_0,segment_1,segment_2,segment_3,segment_4,segment_5,segment_6,segment_7,segment_8,segment_9,segment_10,segment_11,segment_12,segment_13,segment_14,segment_15,segment_16,segment_17,segment_18,segment_19,segment_20
0.001638381947127203,0.006609312025963586,0.0055534506460237715,0.031919438666103264,0.0336088452364865,0.13526504153066404,0.1519349807770551,0.46118760718912216,0.5111574078547684,0.9221997604861119,0.9465520096206579,0.9907189780758908,0.9757323610737393,0.9800758439170895,0.9322505565907119,0.924285655427404,0.794044135434185,0.7601558591822428,0.48218942953449484,0.4169196513029375,0.02584180426704238
0.0016471427627671733,0.006617751414040427,0.00553664366693093,0.03195583248719049,0.03356250301862252,0.13539743793383005,0.1518446646511329,0.4615175203084726,0.5110937818621578,0.9223879700106319,0.946575222694131,0.9907367133286277,0.9757116519031457,0.9800770554750394,0.9321810103832501,0.9242759901812654,0.7938540713559665,0.7601274337360386,0.48183375175363546,0.416805808409768,0.025892971396967557
0.001664752231937234,0.0066116275316339,0.005611279720209386,0.03195170220041689,0.03385910218895018,0.13540619599119244,0.15294553798630076,0.46154901492935635,0.5138465438609011,0.9223947878260688,0.9468791310622536,0.9906748513692094,0.9757317888694725,0.9799156575006119,0.932163015755777,0.9238338430884538,0.793763951345684,0.7590379089817855,0.48165396348020584,0.41484151265113195,0.03130199226512367
0.0017352192042939263,0.006605067428677779,0.00589717650800392,0.0319956349567903,0.03497146124286265,0.13567541134075545,0.156790695806738,0.46230710133182473,0.5226363809547953,0.9228073984689946,0.9478392062189223,0.9905294357900455,0.9757680223216532,0.9794376695375053,0.9320397979609255,0.9224774966850688,0.7933403027132765,0.7556925952728726,0.4808364534805479,0.4088632903947967,0.05008412332051412
0.00186768770236328,0.0065769590190558535,0.006450396689405016,0.032026620377978446,0.03716595345904358,0.13601313055228834,0.16459054302118953,0.46339130766877773,0.5402777984583944,0.9234337853667094,0.9497088033774864,0.9902158137305329,0.9758787476339779,0.9784467577213116,0.9318836218152489,0.9196569629327593,0.7926633134168369,0.7488003686804425,0.4794681951965897,0.3974179050869327,0.08519146647536587
0.0020607147900597567,0.006539997563457265,0.007250690250070638,0.032080826424279174,0.040315132730300345,0.1365216738374877,0.1756164081318643,0.46495051535350557,0.5643999710575425,0.9243238298879989,0.9522981482234048,0.9897503968918256,0.9760314947694014,0.9769918923944305,0.9316309147522337,0.9155524442398342,0.7916246342659319,0.7388514640774027,0.4774023256834389,0.38151591458695194,0.1333311346580302
0.00227053753159417,0.006497990187392004,0.008126189987055426,0.032135849047375244,0.04376525126859364,0.1370648564799319,0.18759947646077635,0.46661870673971967,0.5894654952663221,0.9252498531879112,0.9549834331390566,0.989241494203119,0.976202014295384,0.9754059827157429,0.9313680351133506,0.9110873789063265,0.7905163380455259,0.7281278837036088,0.47519000621083696,0.3648446934256938,0.18335914071248754
0.0024790130785764934,0.006457863073120348,0.008997324561210553,0.03219210086003284,0.04718822640706871,0.13761051455475548,0.19935242455762123,0.46828845275727776,0.6130325267712834,0.9261673663450509,0.957513880482296,0.9887351830108095,0.9763673074980592,0.9738244431042072,0.9311010328236798,0.9066485947560845,0.7894010744290922,0.7175710696696331,0.4729766807241967,0.3488867296697711,0.2302523805460575
0.003075691321340078,0.006314472264618839,0.012113207183545622,0.03239109517683714,0.05941604940588932,0.13955742703318139,0.24089907893996995,0.47423915688038915,0.6925163066678391,0.9294013216227939,0.9660484747144714,0.9869304140480473,0.9769557885014282,0.9681735318756359,0.9301554222756404,0.8908228867690726,0.7854265555326486,0.6802865790767727,0.4650989565129579,0.2418851829701853,0.35832764623030533
0.004046511578517658,0.006085565681715078,0.017409062565265716,0.03272527567816214,0.08003116769028645,0.14286671603617426,0.30727340985026674,0.48427210130676646,0.7918057098620125,0.9345648854619055,0.9767088571281299,0.983882954623483,0.9778912358799414,0.9585652241989386,0.9285563507479644,0.8642639263337911,0.7786666986466754,0.6206739735970146,0.45187670213354403,0.1257778194634629,0.5232170399870582
0.005353304187809477,0.0057995837921244135,0.024758155434987893,0.03317854126736753,0.10823469520451917,0.147459506275752,0.38999843737107925,0.49800003929678366,0.8756504518074484,0.9410071162360196,0.9857150799699327,0.9797212360222263,0.9790647177566097,0.9452375664327431,0.9263756352217337,0.8282377950463717,0.7692916306998973,0.546290140389744,0.43394221880509953,0.053540270159290915,0.6785779941448484
0.006196812577820799,0.005632242663147326,0.0295502113980037,0.03346743487656272,0.12636486199699296,0.15045331727019517,0.43844609652480404,0.5068214506616606,0.9089086866907438,0.9447709256874199,0.9892805265241861,0.9770370234140187,0.9797422732271109,0.9365400162900459,0.9249656091350388,0.80526715695737,0.7631722862640642,0.5026755329302472,0.42250650412239205,0.03317742759954048,0.7482102401386646
0.006609312025963586,0.0055534506460237715,0.031919438666103264,0.0336088452364865,0.13526504153066404,0.1519349807770551,0.46118760718912216,0.5111574078547684,0.9221997604861119,0.9465520096206579,0.9907189780758908,0.9757323610737393,0.9800758439170895,0.9322505565907119,0.924285655427404,0.794044135434185,0.7601558591822428,0.48218942953449484,0.4169196513029375,0.02584180426704238,0.777498217378028
