Iteration,Walker,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Inner Cost,Outer Cost,Gradient Cost
0,0,-4.799592275293796,-5.550039409332635,-5.5492975623015575,-4.260360533671398,-3.914244936491033,-8.014422187146,-3.3953096389211854,-7.4350378788830875,14.190876707975859,12.987478315819288,1.2033983921565703
0,1,-5.578860569100425,-5.818217035105084,-5.522705145789681,-3.8288022560968193,-2.5028668649068444,-3.5672549732957917,-6.2641687184151795,-3.6868885916622816,4.15599788754784,1.756023109130759,2.399974778417081
0,2,-4.331442011553703,-4.98553242043326,-3.9476308661250754,-5.409354216965786,-2.699094011162748,-5.938962009658425,-3.5899470048952433,-5.927405482016982,1.1784987460033443,0.004299390703709687,1.1741993552996346
0,3,-3.8346630382202576,-3.3443839159192867,-7.032808804147322,-4.606053163099455,-4.333336562540003,-2.207714408762192,-7.460641456191733,-4.352095181575145,0.5078472602084767,0.06718666741635322,0.4406605927921235
0,4,-3.439578107066289,-6.590106995880849,-6.161920007947165,-6.533395905956557,-1.9199411290198465,-9.670815515037276,-3.809184116090024,-6.384944654141289,3.6295917356221548,0.019443830132202026,3.610147905489953
0,5,-6.49017445282446,-6.372997444317102,-5.975231573730808,-2.837389502895942,-8.89337586174571,-5.356664855841287,-5.805822631620224,-3.987882880104064,1.3264510707871549,0.7572686520653849,0.56918241872177
0,6,-5.552807476759142,-7.611084266800519,-10.711748573638967,-6.554359983371915,-5.299442476607803,-3.7180570334640715,-2.888747829142546,-5.173542934554583,1.829330301814695,0.18454363297590518,1.6447866688387898
0,7,-7.524531141293837,-3.9023217317085157,-4.756728070081287,-2.707858898468676,-1.4993593591744725,-5.346095807373124,-5.353345460262018,-6.77214087070397,26.48060612466192,0.40117105679082504,26.079435067871096
0,8,-2.6011187408416148,-3.9500210477463815,-3.6810783012942476,-3.089601855780371,-7.041046782041962,-4.120498370236497,-5.157241331859113,-3.71315736422598,4.136294853442614,0.09780822530936993,4.038486628133244
0,9,-3.2325589733212943,-4.326650891968955,-4.552800047608323,-3.976776502918378,-1.7597689244992942,-7.715530230106712,-3.037242948395106,-5.457643872915948,8.564071482926147,0.00984681172692968,8.554224671199218
0,10,-7.703601633672545,-4.2147403495907465,-4.873411633741446,-5.907903783223212,-3.237290758639202,-5.829270536117989,-6.239962585363996,-6.138356927298192,0.246619606465189,0.003196050321814296,0.2434235561433747
0,11,-4.397275797481949,-4.318589762333735,-3.371319586063482,-6.638329713116004,-4.221496675231777,-8.272090395932441,-5.851148459088967,-7.134982599954626,17.240215275406904,16.31083966376002,0.9293756116468828
0,12,-6.7394269260896555,-4.645149457852766,-5.1705859907627545,-7.381392200165472,-9.72501604791104,-5.746154421794078,-4.833703457496928,-4.045403304117798,0.023326066053404204,0.002568398787470098,0.020757667265934105
0,13,-5.539272447122295,-3.0132374835493523,-6.027868451004625,-6.146460268023272,-3.3288889537035837,-4.884709388687575,-0.23065959353995602,-7.7412540528653615,1.2739132169643526,0.00031963239157539324,1.2735935845727773
1,0,-5.163146295432006,-2.283808312237608,-5.1921962711597205,-8.95983411104545,-3.510151325426782,-6.1685621061100235,-5.568910415036989,-3.7076391882772093,0.22124056022682081,0.015606349297218637,0.20563421092960218
1,1,-3.8375241084174254,-9.15322506845515,-6.1632680680593115,-6.36064353391752,-4.368419487423063,-6.860977182026126,-5.88657009693286,-5.493167615001976,0.18685729443076265,0.06165472419726982,0.12520257023349285
1,2,-6.412442124935913,-3.8775355193811563,-5.5525860335054515,-7.386440868575835,-7.039592553882393,-1.8010223493982402,-4.960231521138196,-7.632174639321478,6.977804306486816,6.682690669734536,0.29511363675228
1,3,-5.252342777471676,-6.129692027354236,-6.340381535057011,-9.890177651191669,-5.542902032587032,-5.22227184441954,-5.427136313757192,-5.257155237837355,10.295999035402959,9.102095501321656,1.1939035340813025
1,4,-7.664263080809967,-4.051171834335582,-5.594571799815797,-9.161651437876962,-3.16016402609002,-6.20937813319765,-4.6926232390547895,-4.217352999171778,2.119983560345903,1.1239111919100562,0.9960723684358468
1,5,-4.770836726204098,-5.546254450133435,-6.823793897654914,-8.804462091388817,-1.6744359574376961,-3.8007460617358895,-4.1851896663613815,-11.016698420435052,0.5162304298306237,0.08807170461435512,0.42815872521626863
1,6,-4.012728901303214,-2.918103589584338,-4.780551526702397,-4.687398261485717,-4.914206581389969,-5.2464717749811065,-3.548614627245417,-4.810049488920557,25.655136947962337,0.9930428487561485,24.66209409920619
1,7,-7.8336391798422085,-5.011787403365231,-3.573308362372093,-4.246660323913275,-8.120831679062704,-6.2485778773583736,-5.385543252117413,-7.783333007509466,28.473360863645212,27.603768609355136,0.869592254290076
1,8,-4.038051958520628,-4.558603606844978,-5.034799003811915,-7.126472514540764,-3.364533439970863,-5.395524456440386,-4.1727623622987196,-6.625782267804892,1.6784739453003181,0.033381045687381566,1.6450928996129366
1,9,-8.227064132991327,-4.611512060023751,-6.074970110925227,-5.048516116169783,-5.211632929322283,-4.72874293051458,-5.924507229863818,-6.269876415538345,8.557640137258709,8.242182039402921,0.31545809785578705
1,10,-4.649783016634174,-4.464778915907466,-3.7928166334588553,-6.841388009364773,-2.7406586077005177,-6.395936525843894,-4.301881998334292,-9.388011646138441,0.8112651157551196,0.0015469336246494078,0.8097181821304702
1,11,-8.359156991068323,-2.3324584844963208,-4.45878497689735,-3.6667697373896706,-1.5051449961978802,-6.480587774448333,-4.275972961524911,-8.019073982727013,4.233741260115414,0.011751894771452229,4.221989365343962
1,12,-5.895669008368475,-5.690449322429762,-5.982858622236238,-3.8714576847805997,-2.8119147264300404,-3.8308382013183637,-2.8319830756793447,-5.011783060252299,0.08169182347061335,0.007146158162616682,0.07454566530799667
1,13,-8.124761578531198,-5.1069869101201935,-7.619168128592048,-6.1437262085293955,-2.466382191834868,-7.2020956478491795,-6.014792884012682,-4.078777959223001,0.24901525999214505,0.001485810519615328,0.24752944947252972
