Iteration,Walker,Theta_0,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Theta_9,Theta_10,Outer Cost
1,0,-8.390406293416856,-2.779740173936555,-10.332998990692365,-2.9731863690765343,-2.4695607756041693,-4.6808946615386136,-5.37480844725066,-3.4539476746256708,-2.1542948794651986,-0.78062906792062,-0.4764849087137849,608.535370017587
1,1,-8.500168008170618,-2.6088980525712095,-10.370518859807836,-3.00927427098676,-2.4503000359472242,-4.61209917453585,-5.306554839593862,-3.236106141752709,-1.966326089772907,-0.6514080710304465,-0.7408824912508218,477.78667310612707
1,2,-8.53311867448803,-2.764315108585905,-10.251093377690719,-2.9964688514623443,-2.5117723529935443,-4.724104849781115,-5.206433059155456,-3.376046211510982,-2.129447714959091,-0.7259487526213165,-0.5952076759721967,407.15639127685216
1,3,-8.40086785165305,-2.8141442014554334,-10.119203756317562,-2.897954447168955,-2.4756543246589118,-4.647902169335889,-5.419362577098845,-3.678905152307488,-1.881104311026009,-0.7763573668872666,-0.7014806491214172,974.0028380456747
1,4,-8.27249902945691,-2.7340090277237015,-10.295373780185678,-2.8705184506905526,-2.4713976703287277,-4.660390255726934,-5.2937722984839946,-3.3940374743041626,-1.974953063715639,-0.6423815270875841,-0.8502778132215179,607.2595455647547
1,5,-8.349783014869981,-2.5961641537110056,-10.284484517977686,-2.9921741375109483,-2.364755737672007,-4.648088888852421,-5.132809157812728,-3.4436497296989774,-1.926247370117297,-0.623072210768416,-0.7300193680792637,431.6581291538479
1,6,-8.612058206540608,-2.41638916542208,-10.402067578751202,-3.0224753755413567,-2.3997354715323613,-4.688772931184023,-5.254788985708913,-3.6459101651692345,-1.9109423445720584,-0.6765508038286551,-0.750388807873113,608.9305972567079
1,7,-8.49319076185562,-2.7142856822011274,-10.234087066278882,-3.077614336101268,-2.4996165337051264,-4.624401706395236,-5.327406813415999,-3.4642639341467008,-1.8007803130104543,-0.6497356908663682,-0.4887148522515294,802.030517765186
1,8,-8.375942345275595,-2.5931801783583697,-10.196704790788495,-3.111922850319368,-2.383923576897996,-4.543188470936327,-5.187401923251532,-3.1596947680006133,-1.872659876097482,-0.6227821048863879,-0.623011953621444,1670.2261831521519
1,9,-8.427864818021904,-2.6605420863497797,-10.646641530751463,-2.899155839173354,-2.454317738696305,-4.579045079279282,-5.218611332924115,-3.471689446871962,-1.9827140468886255,-0.6122895609499022,-0.7207438761493968,388.5894623294129
1,10,-8.431150484047976,-2.7458921929021,-10.2539923857201,-2.9276636846351103,-2.4859509957476207,-4.623993794893272,-5.451008907065957,-3.3628405498712213,-1.916442260096724,-0.7370509471619214,-0.7047801936745872,461.87368508987794
1,11,-8.269462411154231,-2.6346601888710897,-10.09975583745912,-3.0496907312803425,-2.480642391976805,-4.854537673862396,-5.358161997086062,-3.6919102449769308,-2.028816422069115,-0.7296158071522068,-0.5913656431004993,729.0124090712114
1,12,-8.226351037923614,-2.6173488006303565,-10.248403505723662,-3.084977916070862,-2.275964190815936,-4.7380982084333265,-5.331223356274801,-3.6440115371633333,-2.047292593144444,-0.6440219550462788,-0.7551629715458507,807.3164573674879
1,13,-8.207049108932258,-2.877398054211368,-10.327481166585487,-3.074623970708754,-2.5697294066748495,-4.566533928529947,-5.246191504645651,-3.4512087148940402,-1.8185363901776606,-0.671841824540522,-0.7064870383530903,1026.9412310855105
1,14,-8.399517393716772,-2.5785777731279045,-10.241128555450532,-3.1055193427936403,-2.396963120106347,-4.507641085094949,-5.265839219965785,-3.528523375965498,-1.83768524069539,-0.675154122028085,-0.7257026534859524,1081.2300657526216
1,15,-8.277427514603392,-2.6137580825859303,-10.214934882401948,-3.025028962528005,-2.3039670749274643,-4.674642317845074,-5.210788549397106,-3.3995774291765706,-1.7996898767785041,-0.8248675373854278,-0.7322623780575636,577.0306823498294
1,16,-8.495547443286837,-2.828843122592111,-10.298795571609016,-3.0171010066611963,-2.4406919438386523,-4.672918722939627,-5.317440358193741,-3.430581116874834,-2.052105127748184,-0.6536992824476268,-0.6931176524352047,436.59067584433046
1,17,-8.3627573518045,-2.8570203690422424,-10.398552698336625,-2.9636155267443334,-2.438260159817346,-4.41649360061272,-5.353207048406396,-3.297592900798872,-1.8568883877278313,-0.7162674516105981,-0.685751670452104,385.0784223248861
1,18,-8.428053926163493,-2.5523256974413653,-10.43811512985639,-2.889695177482643,-2.44375562843185,-4.503080285444375,-5.196080274305423,-3.5858351537568116,-2.148929493983893,-0.5375100785875266,-0.6476993032863528,695.9416779329008
1,19,-8.399412960090267,-2.6540322434930577,-10.138670252286069,-2.997241585911375,-2.5035898320361647,-4.7717328210540195,-5.3257917036049225,-3.4718506943472396,-1.822993052334177,-0.6638295688024403,-0.49024263294114734,478.49202000705105
1,20,-8.147935446746008,-2.6912705430858357,-10.406336980843381,-2.9574128013216896,-2.339427082933733,-4.724549645599734,-5.147538291521327,-3.5371134010128733,-2.010640223580075,-0.7099370927038402,-0.6673716551785778,435.92846595553647
1,21,-8.303083203949363,-2.785203564104082,-10.262913056144615,-2.851050057598231,-2.371238404206424,-4.567889108876702,-5.335911681895463,-3.487093023475794,-1.730021227983081,-0.7246232289718237,-0.7534510479953653,670.7554675789705
1,22,-8.392193461957914,-2.926058745463078,-10.380563867455619,-2.9186017887158906,-2.383359539084804,-4.542533388930884,-5.295685376318822,-3.4485624119962646,-1.8218413712423742,-0.6472361712932102,-0.7002978028524459,408.8867890025275
1,23,-8.530050367922744,-2.681810311835076,-10.378823293788535,-2.874192742758224,-2.4251112306183273,-4.569005686901093,-5.288824139098588,-3.5132520727714445,-1.998090425846159,-0.7422892769969783,-0.7218617122941606,688.5030061406226
1,24,-8.327975561784239,-2.6105819329110806,-10.362396923310497,-2.9839415907775053,-2.545655743067131,-4.655259178407477,-5.143905962513262,-3.3578806199177147,-2.023873745793534,-0.7312172921014668,-0.6468201271672888,435.4483972257827
1,25,-8.364439652613743,-2.5141389391480735,-10.341183071552635,-2.8939406856411214,-2.595929567493385,-4.6084411690089,-5.1548372495709005,-3.6595464771423307,-1.940874888656783,-0.8144340373377827,-0.6102838032713983,765.7890662748847
1,26,-8.504184200812032,-2.551979984309884,-10.172201064025597,-2.9506884092649956,-2.3680589255637994,-4.652391569180712,-5.292277768864904,-3.160246311596653,-1.9225106021225586,-0.5661682068507823,-0.6349104497855165,465.02008829978035
1,27,-8.530311549994078,-2.5701908161300215,-10.324749741321789,-2.9376825244113105,-2.3351953293357925,-4.70418050287301,-5.276239887487153,-3.3807960397106385,-1.9546122514767394,-0.6896224294244225,-0.854776588231724,454.79626726389876
1,28,-8.365786825332872,-2.7101582951706202,-10.38896944928827,-2.871522377112659,-2.3820310026243496,-4.68800039575385,-5.195798451703352,-3.438045739775009,-2.044253783625331,-0.7582142842639653,-0.8776392797580961,642.7441214543992
1,29,-8.424837184266124,-2.783290236465853,-10.236343835581387,-2.8832586672574956,-2.3837727880218025,-4.72293843302073,-5.288619980389662,-3.43088757744661,-1.9797965326573277,-0.7838007271183138,-0.7545906848762266,738.2911303036942
