Iteration,Walker,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Inner Cost,Outer Cost,Gradient Cost
0,0,-2.473985849155982,-4.254457209538557,-2.652134764017351,-7.880880144059462,-3.5696023803146417,-3.762653392788086,-5.508268721787054,-6.077747016030277,369.94321890343195,96.27438674230766,0.2736688321611243
0,1,-4.332983177930432,-1.7519870177885881,-8.288644272648675,-7.016994121453828,-3.1386416735429163,-5.484570745677777,-4.559908274061799,-3.167391350103528,52681.74538128961,295.77366056987694,52.38597172071974
0,2,-3.613241474305827,-7.146516347921793,-3.6889338764574404,-6.23121609578426,-3.594798370542636,-3.6160617878391363,-7.610972730968868,-3.254972283448685,845.9348071998113,198.71105651544994,0.6472237506843613
0,3,-5.073653897455712,-4.874984878850412,-7.777802742165685,-4.122538410150746,-0.8922608492810795,-5.456240864417071,-4.314820873976887,-4.595151665070021,1014.0668518652601,729.030324882175,0.28503652698308507
0,4,-4.59935513085194,-4.620927111374104,-4.333147305404228,-6.6978928359259395,-5.752276019182074,-3.2636920863686436,-3.3299138616617094,-2.8000857134429182,325133.2131439901,50.122832852885715,325.0830903111372
0,5,-5.022216885016766,-6.66363466879759,-2.924324043632842,-7.7081859236148365,-4.497040255986418,-4.597324994916929,-3.0708391116144558,-4.37613387216699,430.94479512672433,70.82774096199869,0.3601170541647256
0,6,-2.3293565372633442,-5.734765403325068,-1.409680696442472,-4.824508825759876,-6.382768478467597,-2.2207081426666457,-5.006058330283537,-8.105444378312278,944.0057587120299,509.1553559570507,0.4348504027549792
0,7,-6.398659063454433,-5.678578485587727,-9.393229817232726,-3.1946502807782053,-8.82520100512598,-4.471192695578573,-5.81053842064212,-6.643823411812803,175.9628040786869,51.27719591948341,0.1246856081592035
0,8,-1.8118618744644057,-8.041377256249442,-3.673028942993956,-2.608642107981369,-4.985325124726666,-5.8714317293230955,-3.507263307478591,-4.7083994829098215,492763.99470753316,1644.1536076851557,491.119841099848
0,9,-2.5261117053001754,-4.269874852559508,-10.587364457960494,-5.293619513115084,-1.9357829476506119,-7.4449369601966655,-8.293365452676271,-4.441027523777812,1019.0522468307394,413.79466545857105,0.6052575813721682
0,10,-1.662095219536774,-2.987310622086436,-6.1681568394616315,-3.5340829173745307,-6.896708223000135,-5.177583066664336,-4.609818675255162,-3.0651722716406313,5700.98411784549,388.4423894258069,5.312541728419683
0,11,-5.7116459785604805,-6.151268351543618,-4.455268741409902,-5.127833206089745,-7.835781977057091,-6.500827695361468,-2.837080907881857,-8.438766070607125,172.802942364215,24.02240988158741,0.1487805324826276
0,12,-1.3897258105579566,-7.77107473451173,-3.4698669263630735,-7.182168542293313,-3.569681895058635,-5.7124991612560425,-9.020383567167308,-8.395110803463352,123.73362840761514,23.520461449669284,0.10021316695794585
0,13,-7.109217321507214,-4.4408896992226765,-3.131243372991026,-2.7133386606279215,-6.098773816679921,-3.823321853313474,-8.05890047653651,-5.099923486008135,22326.940336320044,1756.701336368295,20.570238999951748
0,14,-4.347620471339267,-7.161190999742756,-7.365056440526709,-7.304667819117201,-4.201591696029628,-4.850024268986028,-5.3638201631808435,-5.298064925557498,523.2799633293073,103.35958050818333,0.4199203828211239
0,15,-4.231853206598981,-4.47447820683203,-5.609158419150377,-5.260764705760464,-3.0101572587719976,-6.140068663531659,-6.5791443103807445,-4.779790026056525,218.85421256240696,40.61830834061989,0.17823590422178706
0,16,-2.366705367031826,-4.469376313988967,-7.7434020101559415,-5.096337930025394,-5.1413480896251205,-7.863632254623468,-5.0268719469341345,-6.985388526733914,829.3902847106859,135.95398710984674,0.6934362976008392
0,17,-4.789243872248347,-4.733745159870912,-2.8888684163848346,-6.087074773893473,-4.344818625932517,-2.6728786112787524,-2.759114268967063,-8.091827843946476,654.3559601087693,135.57223014063214,0.518783729968137
0,18,-6.422418421419269,-2.83435082983318,-5.250989966273003,-7.675786861631085,-1.9734122540042969,-6.102022681585511,-4.4651432409565555,-6.198681583100067,589.5971631850814,180.87105082738503,0.40872611235769635
1,0,-2.862044702863154,-7.738009968552429,-4.614022582664091,-9.753226450823465,-5.551807518178129,-8.900272700640976,-7.078990637479985,-7.183960228726683,91.8370254084938,26.02046936274134,0.06581655604575247
1,1,-3.0454383819306408,-8.10369174436856,-7.858135677751288,-5.030120805556267,-3.8229170162509525,-4.488352243559028,-5.124477309359931,-5.910347594922892,612.7102767887071,102.943904998363,0.5097663717903441
1,2,-4.59881992277999,-7.366738552798966,-4.472495274200865,-5.10938026721691,-0.7964359458849462,-9.297446068905288,-10.333303158700586,-6.68860110472606,3112.64710887789,2635.829602251144,0.4768175066267459
1,3,-0.8939468657309635,-4.902011380065579,-5.756064265967799,-7.606421743411471,-1.8474810781370894,-5.020014953893832,-8.01985757991212,-9.515743513516503,824.5261692851626,257.4618224142854,0.5670643468708773
1,4,-5.796619123233371,-4.291000844576477,-3.3207258053483346,-6.395312131490269,-9.255418222501902,-6.345024592800508,-3.8379942154419675,-7.772036100120976,241.47396989659038,34.27197180889466,0.2072019980876957
1,5,-7.072192941554558,-6.398060189258309,-4.051366998635586,-4.701959474907428,-1.1807012328973427,-5.254927958758754,-6.1604005579394245,-6.143663566961,3077.494432739014,2207.135724540348,0.8703587081986661
1,6,-3.296598605472599,-5.561076687372998,-3.0068981713147167,-6.928823942351792,-5.312448024826789,-7.999951730711773,-7.465569219583873,-4.222964139836918,191.1060036236932,53.61905506312637,0.1374869485605668
1,7,-5.555122432555564,-7.303010654292619,-4.354234306921379,-7.145171440352618,-3.3027236448213744,-7.557224228255599,-7.440737697394809,-7.197465381477881,497.3889442955882,87.96057073100098,0.4094283735645872
1,8,0.5316691507322346,-5.0183700908880535,-5.822916393864933,-7.023455667931923,-4.515033637496156,-3.1373635709221683,-4.479122074945774,-3.307214282428546,43930.44109072213,31600.41062538069,12.330030465341443
1,9,-3.455746468025037,-7.733094841427664,-5.571397976496805,-7.43290360051043,-2.7236398107960094,-5.725193101842318,-6.812117545072327,-5.370931344855753,276.14281281298133,55.256750324483065,0.2208860624884983
1,10,-3.1143926971425957,-6.281431569224784,-2.938191458002004,-6.5075637219106754,-5.814055626183442,-3.43220617691625,-4.581251320421235,-8.786826575301312,1484.7129944501864,167.8076789713402,1.3169053154788462
1,11,-2.177930396975681,-7.406470426618912,-5.564435968912509,-6.593191223479213,-3.135594789747932,-7.32596213629879,-5.035977424512665,-4.674568438056104,759.1396782115999,113.17297083179373,0.6459667073798062
1,12,-5.961868699908388,-4.901988282761114,-3.922110909850474,-8.24765241823738,-8.668548743062496,-6.347990605234744,-5.77474144759473,-5.576580666221075,185.53395276575807,43.54776410779493,0.14198618865796314
1,13,-7.448380865480138,-4.644045272789168,-2.975919753962165,-6.167939122490758,-6.235264888702654,-6.336115698756763,-2.7140550554350296,-4.758742707288833,306.3737809159547,70.30396706724152,0.23606981384871317
1,14,-5.257633101014815,-3.6720030461711826,-2.0020513815013,-8.061291125803777,-3.4086944665498864,-6.095648823381358,-8.791949854120476,-3.949863696792366,2553.19147922024,1393.67206488214,1.1595194143381002
1,15,-1.7779054164181347,-3.8535224767812144,-0.5274452334342383,-5.036889708071994,-2.731437132334892,-2.2223498754873927,-7.613232893125616,-8.395800833190476,3020.6363294799544,1407.790735166184,1.6128455943137703
1,16,-5.527930164389768,-4.683841392120444,-10.10448059678539,-6.762461363778524,-2.6520333312108213,-3.5319715110069496,-3.0064321365609548,-5.791785803123654,602.005651599102,210.50247435581724,0.3915031772432847
